ST,State,X,Y
AK,Alaska,3,-11.5
AL,Alabama,10.3,-8.86
AR,Arkansas,9.2,-7.6
AZ,Arizona,4.5,-6.78
CA,California,2.45,-7.58
CO,Colorado,5.8,-6.8
CT,Connecticut,16.5,-4.35
DC,D. C.,15.5,-6.55
DE,Delaware,15.5,-5.8
FL,Florida,12.2,-10.9
GA,Georgia,11.7,-9
HI,Hawaii,2.2,-11.5
IA,Iowa,7,-5.6
ID,Idaho,4,-4.5
IL,Illinois,8.5,-6.1
IN,Indiana,10.2,-6.1
KS,Kansas,7.2,-8
KY,Kentucky,11.6,-7.6
LA,Louisiana,8.2,-8.8
MA,Massachusetts,16.5,-3.05
MD,Maryland,14.55,-6.1
ME,Maine,17,-1
MI,Michigan,10.6,-4.4
MN,Minnesota,6.85,-4.4
MO,Missouri,7,-6.8
MS,Mississippi,9.2,-8.75
MT,Montana,5,-3.75
NC,North Carolina,13.91,-7.6
ND,North Dakota,5.74,-3.75
NE,Nebraska,6.05,-5.65
NH,New Hampshire,17,-1.9
NJ,New Jersey,14.55,-4.6
NM,New Mexico,6.2,-8
NV,Nevada,4,-5.5
NY,New York,14.8,-2.7
OH,Ohio,11.7,-6.1
OK,Oklahoma,8.2,-7.6
OR,Oregon,2.92,-5.5
PA,Pennsylvania,12.95,-4.35
RI,Rhode Island,17.45,-4.25
SC,South Carolina,13.1,-9
SD,South Dakota,5.74,-4.5
TN,Tennessee,10.3,-7.5
TX,Texas,6.5,-9.8
UT,Utah,5.1,-5.5
VA,Virginia,13.2,-6.1
VT,Vermont,16.2,-2
WA,Washington,2.8,-4.2
WI,Wisconsin,8.28,-4.51
WV,West Virginia,12.7,-7.65
WY,Wyoming,5,-4.5
