State,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2000_dem_margin,2004_dem_margin,2008_dem_margin,2012_dem_margin
Alabama,D,R,R,R,R,R,R,R,R,R,-14.91,-25.62,-21.58,-22.19
Alaska,R,R,R,R,R,R,R,R,R,R,-30.95,-25.55,-21.53,-13.99
Arizona,R,R,R,R,R,D,R,R,R,R,-6.29,-10.47,-8.52,-9.06
Arkansas,D,R,R,R,D,D,R,R,R,R,-5.45,-9.76,-19.86,-23.69
California,R,R,R,R,D,D,D,D,D,D,11.8,9.95,24.06,23.12
Colorado,R,R,R,R,D,R,R,R,D,D,-8.36,-4.67,8.95,5.36
Connecticut,R,R,R,R,D,D,D,D,D,D,17.47,10.36,22.37,17.33
Delaware,D,R,R,R,D,D,D,D,D,D,13.06,7.6,24.99,18.63
Washington DC,D,D,D,D,D,D,D,D,D,D,76.21,79.84,85.93,83.63
Florida,D,R,R,R,R,D,R,R,D,D,-0.01,-5.01,2.81,0.88
Georgia,D,D,R,R,D,R,R,R,R,R,-11.69,-16.6,-5.21,-7.82
Hawaii,D,D,R,D,D,D,D,D,D,D,18.33,8.75,45.27,42.71
Idaho,R,R,R,R,R,R,R,R,R,R,-39.53,-38.12,-25.43,-31.91
Illinois,R,R,R,R,D,D,D,D,D,D,12.02,10.34,25.14,16.87
Indiana,R,R,R,R,R,R,R,R,D,R,-15.64,-20.68,1.04,-10.2
Iowa,R,R,R,D,D,D,D,R,D,D,0.32,-0.67,9.54,5.81
Kansas,R,R,R,R,R,R,R,R,R,R,-20.8,-25.38,-14.96,-21.72
Kentucky,D,R,R,R,D,D,R,R,R,R,-15.13,-19.86,-16.23,-22.69
Louisiana,D,R,R,R,D,D,R,R,R,R,-7.67,-14.5,-18.63,-17.2
Maine,R,R,R,R,D,D,D,D,D,D,5.12,8.99,17.33,15.29
Maryland,D,D,R,R,D,D,D,D,D,D,16.39,12.98,25.45,26.07
Massachusetts,D,R,R,D,D,D,D,D,D,D,27.3,25.16,25.81,23.14
Michigan,R,R,R,R,D,D,D,D,D,D,5.13,3.42,16.47,9.5
Minnesota,D,D,D,D,D,D,D,D,D,D,2.41,3.48,10.24,7.69
Mississippi,D,R,R,R,R,R,R,R,R,R,-16.92,-19.69,-13.18,-11.5
Missouri,D,R,R,R,D,D,R,R,R,R,-3.34,-7.2,-0.14,-9.38
Montana,R,R,R,R,D,R,R,R,R,R,-25.08,-20.51,-2.26,-13.65
Nebraska,R,R,R,R,R,R,R,R,R,R,-29,-33.22,-14.93,-21.77
Nevada,R,R,R,R,D,D,R,R,D,D,-3.54,-2.59,12.5,6.68
New Hampshire,R,R,R,R,D,D,R,D,D,D,-1.27,1.37,9.61,5.58
New Jersey,R,R,R,R,D,D,D,D,D,D,15.84,6.68,15.57,17.79
New Mexico,R,R,R,R,D,D,D,R,D,D,0.06,-0.79,15.13,10.15
New York,D,R,R,D,D,D,D,D,D,D,24.98,18.29,26.85,28.18
North Carolina,D,R,R,R,R,R,R,R,D,R,-12.83,-12.44,0.32,-2.04
North Dakota,R,R,R,R,R,R,R,R,R,R,-27.6,-27.36,-8.63,-19.63
Ohio,D,R,R,R,D,D,R,R,D,D,-3.51,-2.1,4.59,2.98
Oklahoma,R,R,R,R,R,R,R,R,R,R,-21.88,-31.14,-31.3,-33.54
Oregon,R,R,R,D,D,D,D,D,D,D,0.44,4.16,16.35,12.09
Pennsylvania,D,R,R,R,D,D,D,D,D,D,4.17,2.5,10.32,5.38
Rhode Island,D,D,R,D,D,D,D,D,D,D,29.08,20.75,27.8,27.46
South Carolina,D,R,R,R,R,R,R,R,R,R,-15.94,-17.08,-8.97,-10.47
South Dakota,R,R,R,R,R,R,R,R,R,R,-22.74,-21.47,-8.41,-18.02
Tennessee,D,R,R,R,D,D,R,R,R,R,-3.87,-14.27,-15.07,-20.4
Texas,D,R,R,R,R,R,R,R,R,R,-21.32,-22.87,-11.77,-15.79
Utah,R,R,R,R,R,R,R,R,R,R,-40.49,-45.54,-28.17,-48.04
Vermont,R,R,R,R,D,D,D,D,D,D,9.93,20.14,37.01,35.6
Virginia,R,R,R,R,R,R,R,R,D,D,-8.03,-8.2,6.3,3.88
Washington,R,R,R,D,D,D,D,D,D,D,5.58,7.18,17.17,14.87
West Virginia,D,D,R,D,D,D,R,R,R,R,-6.33,-12.86,-13.12,-26.76
Wisconsin,D,R,R,D,D,D,D,D,D,D,0.22,0.38,13.91,6.94
Wyoming,R,R,R,R,R,R,R,R,R,R,-40.06,-39.79,-32.24,-40.82
