"year","model","state","abb"
2004,"prob_unweighted_dem","Alabama","AL"
2004,"prob_unweighted_dem","Alaska","AK"
2004,"prob_unweighted_dem","Arizona","AZ"
2004,"prob_unweighted_dem","Arkansas","AR"
2004,"prob_unweighted_dem","California","CA"
2004,"prob_unweighted_dem","Colorado","CO"
2004,"prob_unweighted_dem","Connecticut","CT"
2004,"prob_unweighted_dem","Delaware","DE"
2004,"prob_unweighted_dem","Washington DC","DC"
2004,"prob_unweighted_dem","Florida","FL"
2004,"prob_unweighted_dem","Georgia","GA"
2004,"prob_unweighted_dem","Hawaii","HI"
2004,"prob_unweighted_dem","Idaho","ID"
2004,"prob_unweighted_dem","Illinois","IL"
2004,"prob_unweighted_dem","Indiana","IN"
2004,"prob_unweighted_dem","Iowa","IA"
2004,"prob_unweighted_dem","Kansas","KS"
2004,"prob_unweighted_dem","Kentucky","KY"
2004,"prob_unweighted_dem","Louisiana","LA"
2004,"prob_unweighted_dem","Maine","ME"
2004,"prob_unweighted_dem","Maryland","MD"
2004,"prob_unweighted_dem","Massachusetts","MA"
2004,"prob_unweighted_dem","Michigan","MI"
2004,"prob_unweighted_dem","Minnesota","MN"
2004,"prob_unweighted_dem","Mississippi","MS"
2004,"prob_unweighted_dem","Missouri","MO"
2004,"prob_unweighted_dem","Montana","MT"
2004,"prob_unweighted_dem","Nebraska","NE"
2004,"prob_unweighted_dem","Nevada","NV"
2004,"prob_unweighted_dem","New Hampshire","NH"
2004,"prob_unweighted_dem","New Jersey","NJ"
2004,"prob_unweighted_dem","New Mexico","NM"
2004,"prob_unweighted_dem","New York","NY"
2004,"prob_unweighted_dem","North Carolina","NC"
2004,"prob_unweighted_dem","North Dakota","ND"
2004,"prob_unweighted_dem","Ohio","OH"
2004,"prob_unweighted_dem","Oklahoma","OK"
2004,"prob_unweighted_dem","Oregon","OR"
2004,"prob_unweighted_dem","Pennsylvania","PA"
2004,"prob_unweighted_dem","Rhode Island","RI"
2004,"prob_unweighted_dem","South Carolina","SC"
2004,"prob_unweighted_dem","South Dakota","SD"
2004,"prob_unweighted_dem","Tennessee","TN"
2004,"prob_unweighted_dem","Texas","TX"
2004,"prob_unweighted_dem","Utah","UT"
2004,"prob_unweighted_dem","Vermont","VT"
2004,"prob_unweighted_dem","Virginia","VA"
2004,"prob_unweighted_dem","Washington","WA"
