"id","election_year","state","date","days_till_election","dem_plus_minus","running_average","weighted_running_average","hist_dem_prob","actual","actual_dem_margin","actual_binary_dem","prediction","mean","sd","nearest_neighbor_value","final_prediction_ind"
2075,"2000","AK",2000-11-03,4,-23,-23,-23,0.0909,"R",-30.95,"0","prob_weighted_dem",NA,NA,NA,1
2076,"2000","AL",2000-10-18,20,-20,-20,-20,0.1,"R",-14.91,"0","prob_weighted_dem",NA,NA,NA,0
2077,"2000","AL",2000-10-19,19,-18,-19,-18.974358974359,0.1,"R",-14.91,"0","prob_weighted_dem",NA,NA,NA,0
2078,"2000","AL",2000-11-01,6,-20,-19.3333333333333,-19.1555555555556,0.1,"R",-14.91,"0","prob_weighted_dem",NA,NA,NA,0
2079,"2000","AL",2000-11-03,4,-17,-18.75,-18.530612244898,0.1,"R",-14.91,"0","prob_weighted_dem",NA,NA,NA,1
2080,"2000","AR",2000-10-28,10,-1,-1,-1,0.3,"R",-5.45,"0","prob_weighted_dem",NA,NA,NA,0
2081,"2000","AR",2000-10-29,9,0,-0.5,-0.473684210526316,0.3,"R",-5.45,"0","prob_weighted_dem",NA,NA,NA,0
2082,"2000","AR",2000-10-31,7,-3,-1.33333333333333,-1.42307692307692,0.3,"R",-5.45,"0","prob_weighted_dem",NA,NA,NA,0
2083,"2000","AR",2000-11-02,5,-2,-1.5,-1.67741935483871,0.3,"R",-5.45,"0","prob_weighted_dem",NA,NA,NA,1
2084,"2000","AZ",2000-10-21,17,-11,-11,-11,0.1,"R",-6.29,"0","prob_weighted_dem",NA,NA,NA,0
2086,"2000","AZ",2000-10-29,9,-10,-10.5,-10.3461538461538,0.1,"R",-6.29,"0","prob_weighted_dem",NA,NA,NA,0
2087,"2000","AZ",2000-10-30,8,-10,-10.3333333333333,-10.2352941176471,0.1,"R",-6.29,"0","prob_weighted_dem",NA,NA,NA,0
2088,"2000","AZ",2000-11-03,4,-12,-10.75,-11,0.1,"R",-6.29,"0","prob_weighted_dem",NA,NA,NA,1
2089,"2000","CA",2000-10-21,17,7,7,7,0.6,"D",11.8,"1","prob_weighted_dem",NA,NA,NA,0
2091,"2000","CA",2000-10-24,14,10,8.5,8.64516129032258,0.6,"D",11.8,"1","prob_weighted_dem",NA,NA,NA,0
2092,"2000","CA",2000-10-29,9,5,7.33333333333333,7.2,0.6,"D",11.8,"1","prob_weighted_dem",NA,NA,NA,0
2094,"2000","CA",2000-10-31,7,6.5,7.125,6.79787234042553,0.6,"D",11.8,"1","prob_weighted_dem",NA,NA,NA,0
2096,"2000","CA",2000-11-02,5,2,6.1,5.28846153846154,0.6,"D",11.8,"1","prob_weighted_dem",NA,NA,NA,0
2097,"2000","CA",2000-11-03,4,5.5,6,5.23214285714286,0.6,"D",11.8,"1","prob_weighted_dem",NA,NA,NA,0
2099,"2000","CA",2000-11-05,2,1,5.28571428571429,4.07758620689655,0.6,"D",11.8,"1","prob_weighted_dem",NA,NA,NA,1
2100,"2000","CO",2000-10-23,15,-13,-13,-13,0.3,"R",-8.36,"0","prob_weighted_dem",NA,NA,NA,0
2101,"2000","CO",2000-10-25,13,-10,-11.5,-11.3928571428571,0.3,"R",-8.36,"0","prob_weighted_dem",NA,NA,NA,0
2102,"2000","CO",2000-10-29,9,-9,-10.6666666666667,-10.3243243243243,0.3,"R",-8.36,"0","prob_weighted_dem",NA,NA,NA,0
2103,"2000","CO",2000-11-02,5,-9,-10.25,-9.69047619047619,0.3,"R",-8.36,"0","prob_weighted_dem",NA,NA,NA,0
2104,"2000","CO",2000-11-03,4,-5,-9.2,-8.15217391304348,0.3,"R",-8.36,"0","prob_weighted_dem",NA,NA,NA,1
2105,"2000","CT",2000-11-03,4,11,11,11,0.6,"D",17.47,"1","prob_weighted_dem",NA,NA,NA,1
2106,"2000","DE",2000-10-23,15,4,4,4,0.7,"D",13.06,"1","prob_weighted_dem",NA,NA,NA,0
2107,"2000","DE",2000-10-30,8,1,2.5,2.04347826086957,0.7,"D",13.06,"1","prob_weighted_dem",NA,NA,NA,0
2108,"2000","DE",2000-10-31,7,-4,0.333333333333333,-0.8,0.7,"D",13.06,"1","prob_weighted_dem",NA,NA,NA,1
2109,"2000","FL",2000-10-17,21,-1,-1,-1,0.4,"R",-0.01,"0","prob_weighted_dem",NA,NA,NA,0
2110,"2000","FL",2000-10-20,18,-5,-3,-3.15384615384615,0.4,"R",-0.01,"0","prob_weighted_dem",NA,NA,NA,0
2111,"2000","FL",2000-10-22,16,4,-0.666666666666667,-0.4,0.4,"R",-0.01,"0","prob_weighted_dem",NA,NA,NA,0
2112,"2000","FL",2000-10-23,15,5,0.75,1.17142857142857,0.4,"R",-0.01,"0","prob_weighted_dem",NA,NA,NA,0
2113,"2000","FL",2000-10-25,13,-1,0.4,0.542168674698795,0.4,"R",-0.01,"0","prob_weighted_dem",NA,NA,NA,0
2114,"2000","FL",2000-10-27,11,5,1.16666666666667,1.6063829787234,0.4,"R",-0.01,"0","prob_weighted_dem",NA,NA,NA,0
2115,"2000","FL",2000-10-28,10,-3,0.571428571428571,0.701923076923077,0.4,"R",-0.01,"0","prob_weighted_dem",NA,NA,NA,0
2116,"2000","FL",2000-10-30,8,10,1.75,2.42857142857143,0.4,"R",-0.01,"0","prob_weighted_dem",NA,NA,NA,0
2117,"2000","FL",2000-10-31,7,1.5,1.72222222222222,2.29831932773109,0.4,"R",-0.01,"0","prob_weighted_dem",NA,NA,NA,0
2119,"2000","FL",2000-11-01,6,-2,1.35,1.56,0.4,"R",-0.01,"0","prob_weighted_dem",NA,NA,NA,0
2120,"2000","FL",2000-11-02,5,5,1.68181818181818,2.16923076923077,0.4,"R",-0.01,"0","prob_weighted_dem",NA,NA,NA,0
2121,"2000","FL",2000-11-03,4,3,1.79166666666667,2.33208955223881,0.4,"R",-0.01,"0","prob_weighted_dem",NA,NA,NA,0
2122,"2000","FL",2000-11-04,3,4,1.96153846153846,2.53649635036496,0.4,"R",-0.01,"0","prob_weighted_dem",NA,NA,NA,0
2123,"2000","FL",2000-11-05,2,2,1.96428571428571,2.56474820143885,0.4,"R",-0.01,"0","prob_weighted_dem",NA,NA,NA,1
2124,"2000","GA",2000-10-22,16,-10,-10,-10,0.3,"R",-11.69,"0","prob_weighted_dem",NA,NA,NA,0
2125,"2000","GA",2000-10-29,9,-16,-13,-13.84,0.3,"R",-11.69,"0","prob_weighted_dem",NA,NA,NA,0
2126,"2000","GA",2000-11-03,4,-8,-11.3333333333333,-10.7586206896552,0.3,"R",-11.69,"0","prob_weighted_dem",NA,NA,NA,1
2127,"2000","HI",2000-10-22,16,19,19,19,0.9,"D",18.33,"1","prob_weighted_dem",NA,NA,NA,0
2128,"2000","HI",2000-11-03,4,15,17,15.8,0.9,"D",18.33,"1","prob_weighted_dem",NA,NA,NA,1
2129,"2000","IA",2000-10-29,9,0,0,0,0.6,"D",0.32,"1","prob_weighted_dem",NA,NA,NA,0
2130,"2000","IA",2000-10-31,7,-3,-1.5,-1.6875,0.6,"D",0.32,"1","prob_weighted_dem",NA,NA,NA,0
2131,"2000","IA",2000-11-01,6,1.5,-0.5,-0.340909090909091,0.6,"D",0.32,"1","prob_weighted_dem",NA,NA,NA,0
2133,"2000","IA",2000-11-02,5,-4,-1.375,-1.61111111111111,0.6,"D",0.32,"1","prob_weighted_dem",NA,NA,NA,0
2134,"2000","IA",2000-11-03,4,6,0.1,0.645161290322581,0.6,"D",0.32,"1","prob_weighted_dem",NA,NA,NA,1
2135,"2000","ID",2000-10-21,17,-38,-38,-38,0.0909,"R",-39.53,"0","prob_weighted_dem",NA,NA,NA,0
2136,"2000","ID",2000-10-26,12,-26,-32,-30.9655172413793,0.0909,"R",-39.53,"0","prob_weighted_dem",NA,NA,NA,0
2137,"2000","ID",2000-11-03,4,-38,-34,-33.6363636363636,0.0909,"R",-39.53,"0","prob_weighted_dem",NA,NA,NA,1
2138,"2000","IL",2000-10-17,21,4.5,4.5,4.5,0.6,"D",12.02,"1","prob_weighted_dem",NA,NA,NA,0
2140,"2000","IL",2000-10-22,16,10,7.25,7.62162162162162,0.6,"D",12.02,"1","prob_weighted_dem",NA,NA,NA,0
2141,"2000","IL",2000-10-23,15,4.5,6.33333333333333,6.19230769230769,0.6,"D",12.02,"1","prob_weighted_dem",NA,NA,NA,0
2143,"2000","IL",2000-10-25,13,7,6.5,6.57692307692308,0.6,"D",12.02,"1","prob_weighted_dem",NA,NA,NA,0
2144,"2000","IL",2000-10-26,12,-3,4.6,3.9025974025974,0.6,"D",12.02,"1","prob_weighted_dem",NA,NA,NA,0
2145,"2000","IL",2000-10-27,11,7,5,4.90909090909091,0.6,"D",12.02,"1","prob_weighted_dem",NA,NA,NA,0
2146,"2000","IL",2000-10-29,9,3,4.71428571428571,4.38659793814433,0.6,"D",12.02,"1","prob_weighted_dem",NA,NA,NA,0
2147,"2000","IL",2000-10-30,8,6,4.875,4.75714285714286,0.6,"D",12.02,"1","prob_weighted_dem",NA,NA,NA,0
2148,"2000","IL",2000-11-01,6,6,5,4.92342342342342,0.6,"D",12.02,"1","prob_weighted_dem",NA,NA,NA,0
2149,"2000","IL",2000-11-02,5,9,5.4,5.57327586206897,0.6,"D",12.02,"1","prob_weighted_dem",NA,NA,NA,0
2150,"2000","IL",2000-11-03,4,6,5.45454545454545,5.625,0.6,"D",12.02,"1","prob_weighted_dem",NA,NA,NA,0
2151,"2000","IL",2000-11-05,2,8,5.66666666666667,6.02049180327869,0.6,"D",12.02,"1","prob_weighted_dem",NA,NA,NA,1
2152,"2000","IN",2000-10-27,11,-23,-23,-23,0.1,"R",-15.64,"0","prob_weighted_dem",NA,NA,NA,0
2153,"2000","IN",2000-10-30,8,-19,-21,-20.6842105263158,0.1,"R",-15.64,"0","prob_weighted_dem",NA,NA,NA,0
2154,"2000","IN",2000-11-01,6,-28,-23.3333333333333,-23.92,0.1,"R",-15.64,"0","prob_weighted_dem",NA,NA,NA,0
2155,"2000","IN",2000-11-03,4,-17,-21.75,-21.2758620689655,0.1,"R",-15.64,"0","prob_weighted_dem",NA,NA,NA,1
2156,"2000","KS",2000-11-03,4,-17,-17,-17,0.0909,"R",-20.8,"0","prob_weighted_dem",NA,NA,NA,1
2157,"2000","KY",2000-10-21,17,-9,-9,-9,0.3,"R",-15.13,"0","prob_weighted_dem",NA,NA,NA,0
2158,"2000","KY",2000-10-28,10,-15,-12,-12.7777777777778,0.3,"R",-15.13,"0","prob_weighted_dem",NA,NA,NA,0
2159,"2000","KY",2000-11-01,6,-18,-14,-15.4545454545455,0.3,"R",-15.13,"0","prob_weighted_dem",NA,NA,NA,0
2160,"2000","KY",2000-11-03,4,-11,-13.25,-13.3243243243243,0.3,"R",-15.13,"0","prob_weighted_dem",NA,NA,NA,1
2162,"2000","LA",2000-10-19,19,-10,-10,-10,0.3,"R",-7.67,"0","prob_weighted_dem",NA,NA,NA,0
2164,"2000","LA",2000-10-21,17,-10.5,-10.25,-10.2638888888889,0.3,"R",-7.67,"0","prob_weighted_dem",NA,NA,NA,1
2166,"2000","MA",2000-10-25,13,25,25,25,0.8,"D",27.3,"1","prob_weighted_dem",NA,NA,NA,0
2168,"2000","MA",2000-10-27,11,22,23.5,23.375,0.8,"D",27.3,"1","prob_weighted_dem",NA,NA,NA,0
2169,"2000","MA",2000-11-03,4,26,24.3333333333333,24.2857142857143,0.8,"D",27.3,"1","prob_weighted_dem",NA,NA,NA,1
2170,"2000","MD",2000-10-21,17,11,11,11,0.8,"D",16.39,"1","prob_weighted_dem",NA,NA,NA,0
2171,"2000","MD",2000-10-26,12,7.5,9.25,8.94827586206896,0.8,"D",16.39,"1","prob_weighted_dem",NA,NA,NA,0
2173,"2000","MD",2000-10-27,11,14,10.8333333333333,11.225,0.8,"D",16.39,"1","prob_weighted_dem",NA,NA,NA,0
2174,"2000","MD",2000-11-03,4,17,12.375,13.2613636363636,0.8,"D",16.39,"1","prob_weighted_dem",NA,NA,NA,1
2175,"2000","ME",2000-10-22,16,3.5,3.5,3.5,0.6,"D",5.12,"1","prob_weighted_dem",NA,NA,NA,0
2177,"2000","ME",2000-10-24,14,1,2.25,2.16666666666667,0.6,"D",5.12,"1","prob_weighted_dem",NA,NA,NA,0
2178,"2000","ME",2000-10-29,9,0,1.5,1.16666666666667,0.6,"D",5.12,"1","prob_weighted_dem",NA,NA,NA,0
2179,"2000","ME",2000-11-03,4,8,3.125,3.51162790697674,0.6,"D",5.12,"1","prob_weighted_dem",NA,NA,NA,1
2180,"2000","MI",2000-10-18,20,0,0,0,0.6,"D",5.13,"1","prob_weighted_dem",NA,NA,NA,0
2182,"2000","MI",2000-10-22,16,3,1.5,1.66666666666667,0.6,"D",5.13,"1","prob_weighted_dem",NA,NA,NA,0
2183,"2000","MI",2000-10-23,15,-1,0.666666666666667,0.549019607843137,0.6,"D",5.13,"1","prob_weighted_dem",NA,NA,NA,0
2184,"2000","MI",2000-10-24,14,-0.333333333333329,0.416666666666668,0.343589743589745,0.6,"D",5.13,"1","prob_weighted_dem",NA,NA,NA,0
2187,"2000","MI",2000-10-25,13,-6,-0.866666666666666,-1.26068376068376,0.6,"D",5.13,"1","prob_weighted_dem",NA,NA,NA,0
2188,"2000","MI",2000-10-26,12,3,-0.222222222222221,-0.177777777777777,0.6,"D",5.13,"1","prob_weighted_dem",NA,NA,NA,0
2189,"2000","MI",2000-10-27,11,0,-0.19047619047619,-0.234323432343234,0.6,"D",5.13,"1","prob_weighted_dem",NA,NA,NA,0
2190,"2000","MI",2000-10-28,10,4,0.333333333333334,0.51951951951952,0.6,"D",5.13,"1","prob_weighted_dem",NA,NA,NA,0
2191,"2000","MI",2000-10-29,9,0,0.296296296296297,0.358333333333334,0.6,"D",5.13,"1","prob_weighted_dem",NA,NA,NA,0
2192,"2000","MI",2000-10-30,8,2,0.466666666666667,0.627604166666667,0.6,"D",5.13,"1","prob_weighted_dem",NA,NA,NA,0
2193,"2000","MI",2000-10-31,7,4,0.787878787878788,1.10864197530864,0.6,"D",5.13,"1","prob_weighted_dem",NA,NA,NA,0
2194,"2000","MI",2000-11-01,6,5,1.13888888888889,1.62411347517731,0.6,"D",5.13,"1","prob_weighted_dem",NA,NA,NA,0
2196,"2000","MI",2000-11-02,5,5,1.43589743589744,2.05707762557078,0.6,"D",5.13,"1","prob_weighted_dem",NA,NA,NA,0
2198,"2000","MI",2000-11-03,4,5,1.69047619047619,2.44444444444444,0.6,"D",5.13,"1","prob_weighted_dem",NA,NA,NA,0
2199,"2000","MI",2000-11-04,3,-1.5,1.47777777777778,1.94771241830065,0.6,"D",5.13,"1","prob_weighted_dem",NA,NA,NA,0
2201,"2000","MI",2000-11-05,2,7,1.82291666666667,2.71182795698925,0.6,"D",5.13,"1","prob_weighted_dem",NA,NA,NA,1
2202,"2000","MN",2000-10-19,19,-3,-3,-3,0.9091,"D",2.41,"1","prob_weighted_dem",NA,NA,NA,0
2203,"2000","MN",2000-10-27,11,3,0,0.8,0.9091,"D",2.41,"1","prob_weighted_dem",NA,NA,NA,0
2204,"2000","MN",2000-11-01,6,10,3.33333333333333,5.69444444444444,0.9091,"D",2.41,"1","prob_weighted_dem",NA,NA,NA,0
2205,"2000","MN",2000-11-03,4,3,3.25,4.325,0.9091,"D",2.41,"1","prob_weighted_dem",NA,NA,NA,1
2206,"2000","MO",2000-10-23,15,-4,-4,-4,0.3,"R",-3.34,"0","prob_weighted_dem",NA,NA,NA,0
2207,"2000","MO",2000-10-25,13,0.5,-1.75,-1.58928571428571,0.3,"R",-3.34,"0","prob_weighted_dem",NA,NA,NA,0
2209,"2000","MO",2000-10-27,11,2,-0.5,-0.192307692307692,0.3,"R",-3.34,"0","prob_weighted_dem",NA,NA,NA,0
2210,"2000","MO",2000-10-29,9,-5,-1.625,-1.65625,0.3,"R",-3.34,"0","prob_weighted_dem",NA,NA,NA,0
2211,"2000","MO",2000-10-30,8,-4,-2.1,-2.33035714285714,0.3,"R",-3.34,"0","prob_weighted_dem",NA,NA,NA,0
2212,"2000","MO",2000-11-01,6,0,-1.75,-1.75806451612903,0.3,"R",-3.34,"0","prob_weighted_dem",NA,NA,NA,0
2213,"2000","MO",2000-11-02,5,-4,-2.07142857142857,-2.23880597014925,0.3,"R",-3.34,"0","prob_weighted_dem",NA,NA,NA,0
2214,"2000","MO",2000-11-03,4,-1,-1.9375,-2.03521126760563,0.3,"R",-3.34,"0","prob_weighted_dem",NA,NA,NA,0
2216,"2000","MO",2000-11-05,2,0,-1.72222222222222,-1.57534246575342,0.3,"R",-3.34,"0","prob_weighted_dem",NA,NA,NA,1
2217,"2000","MS",2000-10-31,7,-22,-22,-22,0.1,"R",-16.92,"0","prob_weighted_dem",NA,NA,NA,0
2218,"2000","MS",2000-11-03,4,-11,-16.5,-15,0.1,"R",-16.92,"0","prob_weighted_dem",NA,NA,NA,1
2219,"2000","MT",2000-10-19,19,-28,-28,-28,0.1,"R",-25.08,"0","prob_weighted_dem",NA,NA,NA,0
2220,"2000","MT",2000-10-21,17,-24,-26,-25.8888888888889,0.1,"R",-25.08,"0","prob_weighted_dem",NA,NA,NA,0
2221,"2000","MT",2000-10-24,14,-12,-21.3333333333333,-20.56,0.1,"R",-25.08,"0","prob_weighted_dem",NA,NA,NA,1
2222,"2000","NC",2000-10-29,9,-7,-7,-7,0.2,"R",-12.83,"0","prob_weighted_dem",NA,NA,NA,0
2223,"2000","NC",2000-10-31,7,-10,-8.5,-8.6875,0.2,"R",-12.83,"0","prob_weighted_dem",NA,NA,NA,0
2224,"2000","NC",2000-11-01,6,-10,-9,-9.18181818181818,0.2,"R",-12.83,"0","prob_weighted_dem",NA,NA,NA,0
2225,"2000","NC",2000-11-03,4,-5,-8,-7.80769230769231,0.2,"R",-12.83,"0","prob_weighted_dem",NA,NA,NA,0
2226,"2000","NC",2000-11-04,3,-17,-9.8,-10.6551724137931,0.2,"R",-12.83,"0","prob_weighted_dem",NA,NA,NA,1
2227,"2000","ND",2000-10-21,17,-15,-15,-15,0.0909,"R",-27.6,"0","prob_weighted_dem",NA,NA,NA,1
2228,"2000","NE",2000-10-26,12,-25,-25,-25,0.0909,"R",-29,"0","prob_weighted_dem",NA,NA,NA,0
2229,"2000","NE",2000-11-03,4,-19,-22,-20.5,0.0909,"R",-29,"0","prob_weighted_dem",NA,NA,NA,1
2230,"2000","NH",2000-10-17,21,3,3,3,0.5,"R",-1.27,"0","prob_weighted_dem",NA,NA,NA,0
2231,"2000","NH",2000-10-22,16,-8,-2.5,-3.24324324324324,0.5,"R",-1.27,"0","prob_weighted_dem",NA,NA,NA,0
2232,"2000","NH",2000-10-24,14,3,-0.666666666666667,-0.450980392156863,0.5,"R",-1.27,"0","prob_weighted_dem",NA,NA,NA,0
2233,"2000","NH",2000-10-31,7,2.5,0.125,0.163793103448276,0.5,"R",-1.27,"0","prob_weighted_dem",NA,NA,NA,0
2235,"2000","NH",2000-11-01,6,-5,-0.9,-0.953125,0.5,"R",-1.27,"0","prob_weighted_dem",NA,NA,NA,0
2236,"2000","NH",2000-11-03,4,-4.66666666666666,-1.52777777777778,-2.32352941176471,0.5,"R",-1.27,"0","prob_weighted_dem",NA,NA,NA,1
2239,"2000","NJ",2000-10-21,17,6,6,6,0.6,"D",15.84,"1","prob_weighted_dem",NA,NA,NA,0
2240,"2000","NJ",2000-10-25,13,8,7,7.13333333333333,0.6,"D",15.84,"1","prob_weighted_dem",NA,NA,NA,0
2242,"2000","NJ",2000-10-27,11,8.5,7.5,7.67073170731707,0.6,"D",15.84,"1","prob_weighted_dem",NA,NA,NA,0
2244,"2000","NJ",2000-10-30,8,6,7.125,7.11224489795918,0.6,"D",15.84,"1","prob_weighted_dem",NA,NA,NA,0
2245,"2000","NJ",2000-11-03,4,11.6666666666667,8.03333333333333,8.63836477987421,0.6,"D",15.84,"1","prob_weighted_dem",NA,NA,NA,0
2248,"2000","NJ",2000-11-05,2,6,7.69444444444444,7.84848484848485,0.6,"D",15.84,"1","prob_weighted_dem",NA,NA,NA,1
2249,"2000","NM",2000-11-01,6,-3,-3,-3,0.5,"D",0.06,"1","prob_weighted_dem",NA,NA,NA,0
2250,"2000","NM",2000-11-02,5,0,-1.5,-1.36363636363636,0.5,"D",0.06,"1","prob_weighted_dem",NA,NA,NA,0
2251,"2000","NM",2000-11-03,4,5,0.666666666666667,1.2,0.5,"D",0.06,"1","prob_weighted_dem",NA,NA,NA,1
2252,"2000","NV",2000-10-23,15,-12,-12,-12,0.4,"R",-3.54,"0","prob_weighted_dem",NA,NA,NA,0
2253,"2000","NV",2000-10-27,11,-4,-8,-7.38461538461538,0.4,"R",-3.54,"0","prob_weighted_dem",NA,NA,NA,0
2254,"2000","NV",2000-10-31,7,-5,-7,-6.15151515151515,0.4,"R",-3.54,"0","prob_weighted_dem",NA,NA,NA,0
2255,"2000","NV",2000-11-03,4,-3,-6,-4.75675675675676,0.4,"R",-3.54,"0","prob_weighted_dem",NA,NA,NA,1
2256,"2000","NY",2000-10-22,16,11,11,11,0.8,"D",24.98,"1","prob_weighted_dem",NA,NA,NA,0
2257,"2000","NY",2000-10-23,15,24,17.5,17.7096774193548,0.8,"D",24.98,"1","prob_weighted_dem",NA,NA,NA,0
2258,"2000","NY",2000-10-27,11,18,17.6666666666667,18.3095238095238,0.8,"D",24.98,"1","prob_weighted_dem",NA,NA,NA,0
2261,"2000","NY",2000-10-30,8,13,16.5,16.6,0.8,"D",24.98,"1","prob_weighted_dem",NA,NA,NA,0
2264,"2000","NY",2000-10-31,7,19,17,16.9473684210526,0.8,"D",24.98,"1","prob_weighted_dem",NA,NA,NA,0
2265,"2000","NY",2000-11-01,6,24,18.1666666666667,18.8888888888889,0.8,"D",24.98,"1","prob_weighted_dem",NA,NA,NA,0
2266,"2000","NY",2000-11-02,5,17,18,18.6764705882353,0.8,"D",24.98,"1","prob_weighted_dem",NA,NA,NA,0
2268,"2000","NY",2000-11-03,4,18,18,18.3611111111111,0.8,"D",24.98,"1","prob_weighted_dem",NA,NA,NA,0
2270,"2000","NY",2000-11-04,3,16,17.7777777777778,17.8,0.8,"D",24.98,"1","prob_weighted_dem",NA,NA,NA,0
2272,"2000","NY",2000-11-05,2,17,17.7,17.6493506493506,0.8,"D",24.98,"1","prob_weighted_dem",NA,NA,NA,1
2273,"2000","OH",2000-10-19,19,-4,-4,-4,0.5,"R",-3.51,"0","prob_weighted_dem",NA,NA,NA,0
2274,"2000","OH",2000-10-22,16,-8,-6,-6.17142857142857,0.5,"R",-3.51,"0","prob_weighted_dem",NA,NA,NA,0
2275,"2000","OH",2000-10-23,15,-9,-7,-7.18,0.5,"R",-3.51,"0","prob_weighted_dem",NA,NA,NA,0
2276,"2000","OH",2000-10-27,11,-3,-6,-5.98360655737705,0.5,"R",-3.51,"0","prob_weighted_dem",NA,NA,NA,0
2277,"2000","OH",2000-10-30,8,-7,-6.2,-6.31884057971014,0.5,"R",-3.51,"0","prob_weighted_dem",NA,NA,NA,0
2278,"2000","OH",2000-10-31,7,-10,-6.83333333333333,-7.07894736842105,0.5,"R",-3.51,"0","prob_weighted_dem",NA,NA,NA,0
2279,"2000","OH",2000-11-01,6,-7,-6.85714285714286,-7.10975609756098,0.5,"R",-3.51,"0","prob_weighted_dem",NA,NA,NA,0
2280,"2000","OH",2000-11-02,5,-6.5,-6.8125,-7.09770114942529,0.5,"R",-3.51,"0","prob_weighted_dem",NA,NA,NA,0
2282,"2000","OH",2000-11-03,4,-6.1999985,-6.74444427777778,-6.85494474175824,0.5,"R",-3.51,"0","prob_weighted_dem",NA,NA,NA,0
2284,"2000","OH",2000-11-05,2,-7,-6.76999985,-6.86774167741935,0.5,"R",-3.51,"0","prob_weighted_dem",NA,NA,NA,1
2285,"2000","OK",2000-11-03,4,-18.5,-18.5,-18.5,0.0909,"R",-21.88,"0","prob_weighted_dem",NA,NA,NA,1
2287,"2000","OR",2000-10-21,17,-5,-5,-5,0.7,"D",0.44,"1","prob_weighted_dem",NA,NA,NA,0
2288,"2000","OR",2000-10-22,16,-4,-4.5,-4.48484848484848,0.7,"D",0.44,"1","prob_weighted_dem",NA,NA,NA,0
2289,"2000","OR",2000-10-27,11,1,-2.66666666666667,-2.31818181818182,0.7,"D",0.44,"1","prob_weighted_dem",NA,NA,NA,0
2290,"2000","OR",2000-10-29,9,-8,-4,-3.94339622641509,0.7,"D",0.44,"1","prob_weighted_dem",NA,NA,NA,0
2291,"2000","OR",2000-11-03,4,7,-1.8,-0.947368421052632,0.7,"D",0.44,"1","prob_weighted_dem",NA,NA,NA,1
2292,"2000","PA",2000-10-17,21,0,0,0,0.7,"D",4.17,"1","prob_weighted_dem",NA,NA,NA,0
2293,"2000","PA",2000-10-18,20,-1,-0.5,-0.51219512195122,0.7,"D",4.17,"1","prob_weighted_dem",NA,NA,NA,0
2294,"2000","PA",2000-10-21,17,11,3.33333333333333,3.63793103448276,0.7,"D",4.17,"1","prob_weighted_dem",NA,NA,NA,0
2295,"2000","PA",2000-10-22,16,1.5,2.875,3.16891891891892,0.7,"D",4.17,"1","prob_weighted_dem",NA,NA,NA,0
2297,"2000","PA",2000-10-24,14,5,3.3,3.47727272727273,0.7,"D",4.17,"1","prob_weighted_dem",NA,NA,NA,0
2298,"2000","PA",2000-10-26,12,3,3.25,3.505,0.7,"D",4.17,"1","prob_weighted_dem",NA,NA,NA,0
2299,"2000","PA",2000-10-27,11,-7,1.78571428571429,1.47747747747748,0.7,"D",4.17,"1","prob_weighted_dem",NA,NA,NA,0
2300,"2000","PA",2000-10-28,10,-1.5,1.375,0.838842975206612,0.7,"D",4.17,"1","prob_weighted_dem",NA,NA,NA,0
