"date","dem_prob","rep_prob"
2016-06-01,"75.5","24.5"
2016-06-02,"76.4","23.6"
2016-06-03,"76","24"
2016-06-04,"75.6","24.4"
2016-06-05,"74.4","25.6"
2016-06-06,"74.1","25.9"
2016-06-07,"75","25"
2016-06-08,"74.7","25.3"
2016-06-09,"74.4","25.6"
2016-06-10,"75.5","24.5"
2016-06-11,"74.3","25.7"
2016-06-12,"75.3","24.7"
2016-06-13,"74.8","25.2"
2016-06-14,"75.1","24.9"
2016-06-15,"74.8","25.2"
2016-06-16,"74.2","25.8"
2016-06-17,"74.7","25.3"
2016-06-18,"74.3","25.7"
2016-06-19,"74.3","25.7"
2016-06-20,"76.8","23.2"
2016-06-21,"76.4","23.6"
2016-06-22,"76.2","23.8"
2016-06-23,"75.1","24.9"
2016-06-24,"76.8","23.2"
2016-06-25,"77.1","22.9"
2016-06-26,"76.6","23.4"
2016-06-27,"76.7","23.3"
2016-06-28,"76.2","23.8"
2016-06-29,"76.3","23.7"
2016-06-30,"76.2","23.8"
2016-07-01,"77.7","22.3"
2016-07-02,"77.2","22.8"
2016-07-03,"77.5","22.5"
2016-07-04,"76.8","23.2"
2016-07-05,"76.9","23.1"
2016-07-06,"77.4","22.6"
2016-07-07,"77.2","22.8"
2016-07-08,"77.8","22.2"
2016-07-09,"78.2","21.8"
2016-07-10,"76.5","23.5"
2016-07-11,"76.4","23.6"
2016-07-12,"76.6","23.4"
2016-07-13,"76.6","23.4"
2016-07-14,"77.5","22.5"
2016-07-15,"76.7","23.3"
2016-07-16,"76.6","23.4"
2016-07-17,"77.7","22.3"
2016-07-18,"76.6","23.4"
2016-07-19,"74.9","25.1"
2016-07-20,"76.2","23.8"
2016-07-21,"76.3","23.7"
2016-07-22,"76","24"
2016-07-23,"76.3","23.7"
2016-07-24,"76.6","23.4"
2016-07-25,"76.6","23.4"
2016-07-28,"75.8","24.2"
