"Pollster","Date","McCain","Obama"
"Marist",2008-11-03,43,52
"Battleground (Lake)*",2008-11-03,47,52
"Battleground (Tarrance)*",2008-11-03,48,50
"IBD/TIPP",2008-11-03,44,52
"Rasmussen Reports",2008-11-03,46,52
"Reuters/C-SPAN/Zogby",2008-11-03,43,54
"NBC News/Wall St. Jrnl",2008-11-02,43,51
"FOX News",2008-11-02,43,50
"Diageo/Hotline",2008-11-02,45,50
"CBS News",2008-11-02,42,51
"Gallup",2008-11-02,44,55
"ABC News/Wash Post",2008-11-02,44,53
"Ipsos/McClatchy",2008-11-02,46,53
"GWU/Battleground",2008-11-02,44,50
"CNN/Opinion Research",2008-11-01,46,53
"Gallup (Expanded)*",2008-11-01,43,52
"Gallup (Traditional)*",2008-11-01,43,51
"Pew Research",2008-11-01,46,52
"Marist",2008-10-29,43,50
"FOX News",2008-10-29,44,47
"CBS News/NY Times",2008-10-29,41,52
"Ipsos/McClatchy",2008-10-27,45,50
"Reuters/C-SPAN/Zogby",2008-10-26,45,50
"Diageo/Hotline",2008-10-26,42,50
"Gallup (Traditional)*",2008-10-26,45,50
"Gallup (Expanded)*",2008-10-26,43,53
"Rasmussen Reports",2008-10-26,46,51
"Pew Research",2008-10-26,38,53
"ABC News/Wash Post",2008-10-26,45,52
"IBD/TIPP",2008-10-26,44,47
"GWU/Battleground",2008-10-26,46,49
"Newsweek",2008-10-23,41,53
"Rasmussen Reports",2008-10-22,45,52
"Gallup (Traditional)*",2008-10-22,46,50
"Gallup (Expanded)*",2008-10-22,45,51
"Diageo/Hotline",2008-10-22,43,48
"Reuters/C-SPAN/Zogby",2008-10-22,40,52
"ABC News/Wash Post",2008-10-22,43,54
"CBS News/NY Times",2008-10-22,39,52
"IBD/TIPP",2008-10-22,44,45
"GWU/Battleground",2008-10-22,45,49
"FOX News",2008-10-21,40,49
"NBC News/Wall St. Jrnl",2008-10-20,42,52
"Ipsos/McClatchy",2008-10-20,42,50
"Associated Press/GfK",2008-10-20,43,44
"CNN/Opinion Research",2008-10-19,46,51
"Pew Research",2008-10-19,39,53
"Democracy Corps (D)",2008-10-19,46,50
"GWU/Battleground",2008-10-19,45,49
"F&M/Hearst-Argyle",2008-10-19,45,50
"Gallup (Traditional)*",2008-10-18,46,49
"Gallup (Expanded)*",2008-10-18,44,51
"Reuters/C-SPAN/Zogby",2008-10-18,45,48
"Diageo/Hotline",2008-10-18,41,48
"Rasmussen Reports",2008-10-18,45,51
"IBD/TIPP",2008-10-18,42,47
"Rasmussen Reports",2008-10-13,45,50
"Diageo/Hotline",2008-10-13,42,48
"Reuters/C-SPAN/Zogby",2008-10-13,43,49
"Gallup (Traditional)*",2008-10-13,45,51
"Gallup (Expanded)*",2008-10-13,43,53
