Pollster,Date,Obama,Romney
Politico/GWU/Battleground,11/5/2012,47,47
YouGov/Economist,11/5/2012,49,47
Gravis Marketing,11/5/2012,48,48
IBD/TIPP,11/5/2012,50,49
Rasmussen,11/5/2012,48,49
JZ Analytics/Newsmax,11/5/2012,47,47
UPI/CVOTER,11/5/2012,49,48
Ipsos/Reuters (Web),11/5/2012,48,46
ARG,11/4/2012,49,49
PPP (D-Americans United for Change),11/4/2012,50,48
CNN,11/4/2012,49,49
ABC/Post,11/4/2012,50,47
Gallup,11/4/2012,48,49
DailyKos/SEIU/PPP (D),11/4/2012,50,48
Monmouth,11/4/2012,48,48
Democracy Corps (D),11/4/2012,49,45
Angus-Reid,11/3/2012,51,48
NBC/WSJ,11/3/2012,48,47
YouGov,11/3/2012,49,47
Pew,11/3/2012,48,45
UPI/CVOTER,11/2/2012,49,48
Rasmussen,11/2/2012,48,48
Purple Strategies,11/1/2012,47,46
JZ Analytics/Newsmax,11/1/2012,48,46
PPP (D-Americans United for Change),11/1/2012,49,48
Politico/GWU/Battleground,11/1/2012,48,48
UPI/CVOTER,11/1/2012,48,48
Washington Times/JZ Analytics,10/31/2012,49,49
ABC/Post,10/31/2012,49,48
Ipsos/Reuters (Web),10/31/2012,47,46
FOX,10/30/2012,46,46
Rasmussen,10/30/2012,47,49
High Point University,10/30/2012,46,43
JZ Analytics/Newsmax,10/29/2012,46,47
YouGov/Economist,10/28/2012,48,47
PPP (D-Americans United for Change),10/28/2012,48,49
United Technologies/National Journal,10/28/2012,50,45
CBS/Times,10/28/2012,48,47
DailyKos/SEIU/PPP (D),10/28/2012,49,49
ARG,10/28/2012,48,48
Pew,10/28/2012,47,47
Gallup,10/28/2012,46,51
Rasmussen,10/27/2012,47,50
ABC/Post,10/27/2012,48,49
IBD/TIPP,10/27/2012,45,44
Ipsos/Reuters (Web),10/26/2012,47,46
NPR,10/25/2012,47,48
PPP (D-Americans United for Change),10/25/2012,48,48
Politico/GWU/Battleground,10/25/2012,49,48
UPI/CVOTER,10/25/2012,48,48
Rasmussen,10/24/2012,47,50
ABC/Post,10/23/2012,48,49
AP-GfK,10/23/2012,45,47
PPP (D-Americans United for Change),10/22/2012,47,49
YouGov/Economist,10/22/2012,48,46
Rasmussen,10/21/2012,47,49
DailyKos/SEIU/PPP (D),10/21/2012,48,48
ARG,10/21/2012,47,49
Democracy Corps (D),10/21/2012,49,46
Monmouth,10/21/2012,45,48
IBD/TIPP,10/21/2012,47,43
Gallup,10/21/2012,45,51
Washington Times/JZ Analytics,10/20/2012,50,47
CBS,10/20/2012,48,46
NBC/WSJ,10/20/2012,47,47
Ipsos/Reuters (Web),10/20/2012,46,45
PPP (D-Americans United for Change),10/19/2012,49,47
Gravis Marketing,10/18/2012,44,46
Rasmussen,10/18/2012,48,48
Politico/GWU/Battleground,10/18/2012,47,49
UPI/CVOTER,10/18/2012,46,48
UConn/Hartford Courant,10/16/2012,48,45
YouGov/Economist,10/15/2012,47,46
Rasmussen,10/15/2012,47,49
Ipsos/Reuters (Web),10/15/2012,47,45
IBD/TIPP,10/15/2012,47,46
DailyKos/SEIU/PPP (D),10/14/2012,46,50
ARG,10/14/2012,47,48
Gallup,10/14/2012,47,49
JZ Analytics/Newsmax,10/13/2012,47,44
ABC/Post,10/13/2012,49,46
Rasmussen,10/12/2012,48,49
Politico/GWU/Battleground,10/11/2012,49,48
Monmouth,10/10/2012,46,47
Ipsos/Reuters (Web),10/10/2012,44,45
UPI/CVOTER,10/10/2012,46,49
FOX,10/9/2012,45,46
Rasmussen,10/9/2012,47,48
IBD/TIPP,10/9/2012,44,49
YouGov/Economist,10/8/2012,49,46
ARG,10/8/2012,47,48
Washington Times/JZ Analytics,10/7/2012,45,45
DailyKos/SEIU/PPP (D),10/7/2012,47,49
Pew,10/7/2012,45,49
Gallup,10/7/2012,50,45
Rasmussen,10/6/2012,47,49
Ipsos/Reuters (Web),10/5/2012,46,44
Clarus,10/4/2012,46,47
Politico/GWU/Battleground,10/4/2012,49,48
Rasmussen,10/3/2012,49,47
Clarus,10/2/2012,49,45
McLaughlin (R-American Conservative Union),10/2/2012,49,45
YouGov/Economist,10/1/2012,49,44
CNN,9/30/2012,50,47
Rasmussen,9/30/2012,48,45
United Technologies/National Journal,9/30/2012,47,47
DailyKos/SEIU/PPP (D),9/30/2012,49,45
ARG,9/30/2012,49,46
NPR,9/30/2012,51,44
NBC/WSJ,9/30/2012,49,46
Quinnipiac,9/30/2012,49,45
Gallup,9/30/2012,49,45
Washington Times/JZ Analytics,9/29/2012,50,41
ABC/Post,9/29/2012,49,47
UPI/CVOTER,9/29/2012,49,46
Ipsos/Reuters (Web),9/28/2012,47,42
Rasmussen,9/27/2012,47,46
Merriman,9/27/2012,46,43
Politico/GWU/Battleground,9/27/2012,49,47
FOX,9/26/2012,48,43
YouGov/Economist,9/24/2012,48,43
Rasmussen,9/24/2012,47,46
Bloomberg,9/24/2012,49,43
DailyKos/SEIU/PPP (D),9/23/2012,50,45
Gallup,9/23/2012,48,46
JZ Analytics,9/22/2012,49,41
UPI/CVOTER,9/22/2012,49,46
Rasmussen,9/21/2012,46,46
Ipsos/Reuters (Web),9/21/2012,48,42
Angus-Reid,9/20/2012,48,46
ARG,9/20/2012,49,47
Politico/GWU/Battleground,9/20/2012,50,47
Allstate/National Journal,9/19/2012,50,43
Rasmussen,9/18/2012,46,47
UConn/Hartford Courant,9/18/2012,46,43
YouGov/Economist,9/17/2012,49,44
Reason/Rupe,9/17/2012,52,45
AP-GfK,9/17/2012,47,46
DailyKos/SEIU/PPP (D),9/16/2012,50,46
Monmouth,9/16/2012,48,45
Pew,9/16/2012,51,43
NBC/WSJ,9/16/2012,50,45
Gallup,9/16/2012,48,45
Rasmussen,9/15/2012,46,47
UPI/CVOTER,9/14/2012,49,45
Ipsos/Reuters (Web),9/13/2012,48,41
JZ Analytics,9/12/2012,48,42
Rasmussen,9/12/2012,46,47
CBS/Times,9/12/2012,49,46
Democracy Corps (D),9/12/2012,50,45
FOX,9/11/2012,48,43
YouGov/Economist,9/10/2012,49,45
Esquire/Yahoo! News,9/10/2012,50,46
Ipsos/Reuters,9/10/2012,48,45
DailyKos/SEIU/PPP (D),9/9/2012,50,44
ABC/Post,9/9/2012,49,48
CNN,9/9/2012,52,46
Rasmussen,9/9/2012,50,45
TIPP/Investor's Business Daily/Christian Science Monitor,9/9/2012,46,44
Gallup,9/9/2012,49,44
Ipsos/Reuters (Web),9/8/2012,47,43
ARG,9/6/2012,46,49
Rasmussen,9/6/2012,45,46
YouGov/Economist,9/3/2012,47,46
Rasmussen,9/3/2012,45,47
CNN,9/3/2012,48,48
Ipsos/Reuters (Web),9/2/2012,45,45
Gallup,9/2/2012,47,46
Rasmussen,8/31/2012,44,47
Rasmussen,8/28/2012,46,45
Ipsos/Reuters (Web),8/28/2012,45,43
YouGov/Economist,8/27/2012,46,47
Democracy Corps (D),8/27/2012,49,47
DailyKos/SEIU/PPP (D),8/26/2012,50,44
CBS,8/26/2012,46,45
Gallup,8/26/2012,46,47
Rasmussen,8/25/2012,47,45
ABC/Post,8/25/2012,46,47
CNN,8/23/2012,49,47
Tarrance (R),8/23/2012,47,46
Rasmussen,8/22/2012,45,45
Resurgent Republic (R),8/22/2012,46,45
FOX,8/21/2012,44,45
YouGov/Economist,8/20/2012,45,45
AP-GfK,8/20/2012,47,46
NBC/WSJ,8/20/2012,48,44
Rasmussen,8/19/2012,43,44
DailyKos/SEIU/PPP (D),8/19/2012,49,45
Monmouth,8/19/2012,46,45
USC/LA Times,8/19/2012,48,46
Gallup,8/19/2012,45,47
Rasmussen,8/16/2012,46,45
YouGov/Economist,8/13/2012,47,44
Rasmussen,8/13/2012,44,47
DailyKos/SEIU/PPP (D),8/12/2012,47,45
Gallup,8/12/2012,46,46
Rasmussen,8/10/2012,44,46
TIPP/Investor's Business Daily/Christian Science Monitor,8/10/2012,46,39
Politico/GWU/Battleground,8/9/2012,48,46
CNN,8/8/2012,52,45
FOX,8/7/2012,49,40
Rasmussen,8/7/2012,45,45
YouGov/Economist,8/6/2012,46,45
Ipsos/Reuters,8/6/2012,49,42
DailyKos/SEIU/PPP (D),8/5/2012,48,46
Gallup,8/5/2012,46,45
Post/Kaiser,8/5/2012,50,43
Rasmussen,8/4/2012,45,47
Rasmussen,8/1/2012,44,46
YouGov/Economist,7/30/2012,44,46
Rasmussen,7/29/2012,44,47
DailyKos/SEIU/PPP (D),7/29/2012,48,47
Gallup,7/29/2012,46,46
Rasmussen,7/26/2012,44,49
Pew,7/26/2012,51,41
Democracy Corps (D),7/25/2012,50,46
YouGov/Economist,7/23/2012,44,45
Rasmussen,7/23/2012,44,45
DailyKos/SEIU/PPP (D),7/22/2012,46,46
NBC/WSJ,7/22/2012,49,43
Gallup,7/21/2012,46,45
Rasmussen,7/20/2012,46,46
FOX,7/17/2012,45,41
Rasmussen,7/17/2012,46,47
YouGov/Economist,7/16/2012,47,44
CBS/Times,7/16/2012,46,47
DailyKos/SEIU/PPP (D),7/15/2012,48,46
Rasmussen,7/14/2012,45,45
Gallup,7/14/2012,47,45
NPR,7/12/2012,47,45
Marist/McClatchy,7/11/2012,48,46
Rasmussen,7/11/2012,45,46
YouGov/Economist,7/9/2012,43,44
Ipsos/Reuters,7/9/2012,49,43
Pew,7/9/2012,50,43
Washington Times/JZ Analytics,7/8/2012,42,43
Rasmussen,7/8/2012,45,46
ABC/Post,7/8/2012,47,47
Quinnipiac,7/8/2012,46,43
Gallup,7/7/2012,47,45
Rasmussen,7/5/2012,44,46
TIPP/Investor's Business Daily/Christian Science Monitor,7/5/2012,43,42
YouGov/Economist,7/2/2012,47,43
DailyKos/SEIU/PPP (D),7/1/2012,48,45
CNN,7/1/2012,49,46
Rasmussen,6/30/2012,45,45
Gallup,6/29/2012,47,44
Newsweek/Daily Beast,6/28/2012,47,44
Rasmussen,6/27/2012,45,45
Democracy Corps (D),6/27/2012,49,46
FOX,6/26/2012,45,40
YouGov/Economist,6/25/2012,45,44
Rasmussen,6/24/2012,45,47
DailyKos/SEIU/PPP (D),6/24/2012,48,45
NBC/WSJ,6/24/2012,47,44
Gallup,6/22/2012,46,46
Rasmussen,6/21/2012,43,48
YouGov/Economist,6/18/2012,44,44
Rasmussen,6/18/2012,44,48
Bloomberg,6/18/2012,53,40
AP-GfK,6/18/2012,47,44
DailyKos/SEIU/PPP (D),6/17/2012,49,45
Pew,6/17/2012,50,46
Rasmussen,6/15/2012,45,47
Gallup,6/15/2012,45,46
Rasmussen,6/12/2012,44,48
YouGov/Economist,6/11/2012,44,42
Ipsos/Reuters,6/11/2012,45,44
DailyKos/SEIU/PPP (D),6/10/2012,50,42
Rasmussen,6/9/2012,45,46
Gallup,6/8/2012,46,45
TIPP/Investor's Business Daily/Christian Science Monitor,6/8/2012,46,42
Tarrance (R),6/7/2012,47,46
Monmouth,6/6/2012,47,46
Rasmussen,6/6/2012,46,46
FOX,6/5/2012,43,43
YouGov/Economist,6/4/2012,47,42
Rasmussen,6/3/2012,44,47
DailyKos/SEIU/PPP (D),6/3/2012,50,42
Pew,6/3/2012,49,42
Gallup,6/1/2012,46,45
CNN,5/31/2012,49,46
Rasmussen,5/31/2012,45,46
YouGov/Economist,5/28/2012,46,43
Rasmussen,5/28/2012,46,45
Rasmussen,5/25/2012,44,45
Gallup,5/24/2012,47,46
Rasmussen,5/22/2012,46,45
YouGov/Economist,5/21/2012,46,42
DailyKos/SEIU/PPP (D),5/20/2012,47,46
ABC/Post,5/20/2012,49,46
NBC/WSJ,5/20/2012,47,43
Rasmussen,5/19/2012,46,44
Gallup,5/17/2012,45,46
Rasmussen,5/16/2012,45,46
TIPP/Investor's Business Daily/Christian Science Monitor,5/16/2012,43,40
FOX,5/15/2012,46,39
YouGov/Economist,5/14/2012,42,46
Mason-Dixon,5/14/2012,44,47
DailyKos/SEIU/PPP (D),5/13/2012,48,46
Washington Times/JZ Analytics,5/12/2012,43,44
Rasmussen,5/12/2012,44,48
Gallup,5/10/2012,45,46
Rasmussen,5/9/2012,45,49
Angus-Reid,5/8/2012,46,49
YouGov/Economist,5/7/2012,44,43
AP-GfK,5/7/2012,50,42
Ipsos/Reuters,5/7/2012,49,42
Rasmussen,5/6/2012,45,47
DailyKos/SEIU/PPP (D),5/6/2012,48,45
TIPP/Investor's Business Daily/Christian Science Monitor,5/4/2012,46,43
Rasmussen,5/3/2012,47,45
Politico/GWU/Battleground,5/3/2012,47,48
Gallup,5/3/2012,45,45
Resurgent Republic (R),5/2/2012,49,42
Democracy Corps (D),5/1/2012,47,47
YouGov/Economist,4/30/2012,48,43
Rasmussen,4/30/2012,46,46
DailyKos/SEIU/PPP (D),4/29/2012,49,44
Gallup,4/28/2012,47,46
Rasmussen,4/27/2012,47,45
FOX,4/24/2012,46,46
Gallup,4/24/2012,49,43
Rasmussen,4/24/2012,44,49
YouGov/Economist,4/23/2012,46,47
DailyKos/SEIU/PPP (D),4/22/2012,49,44
Gallup,4/22/2012,47,44
Rasmussen,4/21/2012,45,46
Rasmussen,4/18/2012,45,46
NBC/WSJ,4/17/2012,49,43
Gallup,4/17/2012,44,48
CBS/Times,4/17/2012,46,46
Quinnipiac,4/17/2012,46,42
YouGov/Economist,4/16/2012,49,42
CNN,4/15/2012,52,43
Rasmussen,4/15/2012,44,47
PPP (D),4/15/2012,49,46
DailyKos/SEIU/PPP (D),4/15/2012,50,44
Ipsos/Reuters,4/15/2012,47,43
Pew,4/15/2012,49,45
Rasmussen,4/12/2012,44,48
FOX,4/11/2012,44,46
YouGov/Economist,4/10/2012,46,43
Rasmussen,4/9/2012,45,45
ABC/Post,4/8/2012,51,43
Rasmussen,4/6/2012,47,44
TIPP/Investor's Business Daily/Christian Science Monitor,4/5/2012,46,38
Rasmussen,4/3/2012,44,47
YouGov/Economist,4/3/2012,47,44
Rasmussen,3/31/2012,46,45
Rasmussen,3/28/2012,44,46
YouGov/Economist,3/27/2012,46,43
Gallup,3/26/2012,49,45
CNN,3/25/2012,54,43
Rasmussen,3/25/2012,46,43
Suffolk,3/25/2012,47,37
Marist/McClatchy,3/22/2012,46,44
Rasmussen,3/22/2012,45,45
YouGov/Economist,3/20/2012,49,42
Reason/Rupe,3/20/2012,46,40
Rasmussen,3/19/2012,46,45
PPP (D),3/17/2012,48,44
Rasmussen,3/16/2012,49,43
Rasmussen,3/13/2012,44,46
YouGov/Economist,3/13/2012,48,44
FOX,3/12/2012,46,42
Ipsos/Reuters,3/11/2012,52,41
Bloomberg,3/11/2012,47,47
Pew,3/11/2012,54,42
CBS/Times,3/11/2012,47,44
Rasmussen,3/10/2012,42,48
ABC/Post,3/10/2012,47,49
Rasmussen,3/7/2012,48,44
YouGov/Economist,3/6/2012,49,41
Rasmussen,3/4/2012,45,43
NBC/WSJ,3/3/2012,50,44
Rasmussen,3/1/2012,48,42
YouGov/Economist,2/28/2012,49,40
Rasmussen,2/27/2012,44,44
Rasmussen,2/24/2012,46,43
Politico/GWU/Battleground,2/22/2012,53,43
Rasmussen,2/21/2012,47,41
YouGov/Economist,2/21/2012,49,41
AP-GfK,2/20/2012,51,43
Quinnipiac,2/20/2012,46,44
USAToday/ Gallup,2/19/2012,46,50
Rasmussen,2/18/2012,47,43
Rasmussen,2/15/2012,47,43
YouGov/Economist,2/14/2012,49,42
Democracy Corps (D),2/14/2012,49,45
CNN,2/13/2012,51,46
CBS/Times,2/13/2012,48,42
Rasmussen,2/12/2012,48,42
PPP (D),2/12/2012,49,42
Pew,2/12/2012,52,44
Fairleigh Dickinson,2/12/2012,45,41
Rasmussen,2/9/2012,50,40
FOX,2/9/2012,47,42
YouGov/Economist,2/7/2012,51,39
Rasmussen,2/6/2012,48,42
Ipsos/Reuters,2/6/2012,48,42
ABC/Post,2/4/2012,51,45
Rasmussen,2/3/2012,46,44
Rasmussen,1/31/2012,47,43
YouGov/Economist,1/31/2012,49,40
DailyKos/SEIU/PPP (D),1/29/2012,46,42
Gallup,1/28/2012,48,48
Rasmussen,1/28/2012,45,43
Rasmussen,1/25/2012,46,43
NBC/WSJ,1/24/2012,49,43
YouGov/Economist,1/24/2012,47,41
Rasmussen,1/22/2012,45,43
CBS/Times,1/17/2012,45,45
PPP (D),1/16/2012,49,44
Pew,1/16/2012,50,45
ABC/Post,1/15/2012,46,48
FOX,1/14/2012,46,45
CNN,1/12/2012,47,48
Democracy Corps (D),1/11/2012,47,46
Rasmussen,1/10/2012,44,41
YouGov/Economist,1/10/2012,44,44
Ipsos/Reuters,1/9/2012,48,43
CBS,1/8/2012,45,47
Rasmussen,1/4/2012,42,42
YouGov/Economist,1/3/2012,49,40
Rasmussen,12/28/2011,39,45
Rasmussen,12/21/2011,44,41
YouGov/Economist,12/20/2011,47,40
PPP (D),12/18/2011,45,47
CNN,12/18/2011,52,45
USA Today/Gallup,12/18/2011,50,48
ABC/Post,12/18/2011,47,47
Rasmussen,12/15/2011,42,43
YouGov/Economist,12/13/2011,46,43
AP-GfK,12/12/2011,47,46
Ipsos/Reuters,12/12/2011,48,40
NBC/WSJ,12/11/2011,47,45
Rasmussen,12/9/2011,42,45
FOX,12/7/2011,44,42
YouGov/Economist,12/6/2011,46,44
Fairleigh Dickinson,12/5/2011,46,42
Rasmussen,12/1/2011,42,40
YouGov/Economist,11/29/2011,46,42
Rasmussen,11/22/2011,44,38
Clarus,11/22/2011,37,53
YouGov/Economist,11/22/2011,46,43
Quinnipiac,11/20/2011,45,44
Zogby (Internet),11/17/2011,42,44
SurveyUSA,11/15/2011,46,44
FOX,11/15/2011,42,44
YouGov/Economist,11/15/2011,46,41
Pew,11/14/2011,49,47
CNN,11/13/2011,47,51
PPP (D),11/13/2011,46,43
Rasmussen,11/10/2011,43,42
Marist/McClatchy,11/10/2011,48,44
Politico/GWU/Battleground,11/9/2011,49,43
YouGov/Economist,11/8/2011,46,42
NBC/WSJ,11/5/2011,49,43
Ipsos/Reuters,11/3/2011,43,44
ABC/Post,11/3/2011,46,45
Rasmussen,11/2/2011,42,41
YouGov/Economist,11/1/2011,47,39
