State,Gore,Bush,Start,End,Pollster
AK,31,54,11/3/2000,11/3/2000,Harris Interactive
AL,33,53,10/18/2000,10/18/2000,University of South Alabama
AL,37,55,10/19/2000,10/19/2000,Capital Survey Research Center
AL,28,48,11/1/2000,11/1/2000,University of South Alabama
AL,38,55,11/3/2000,11/3/2000,"Mason-Dixon Polling & Research, Inc."
AR,44,45,10/28/2000,10/28/2000,"Mason-Dixon Polling & Research, Inc."
AR,46,46,10/29/2000,10/29/2000,Opinion Research Associates
AR,44,47,10/31/2000,10/31/2000,"Ethridge & Associates, LLC"
AR,45,47,11/2/2000,11/2/2000,Rasmussen Reports/Pulse Opinion Research
AZ,39,49,10/21/2000,10/21/2000,Arizona State University
AZ,37,49,10/21/2000,10/21/2000,Rasmussen Reports/Pulse Opinion Research
AZ,42,52,10/29/2000,10/29/2000,SurveyUSA
AZ,39,49,10/30/2000,10/30/2000,Market Solutions Group
AZ,40,52,11/3/2000,11/3/2000,Harris Interactive
CA,48,41,10/21/2000,10/21/2000,Los Angeles Times
CA,48,41,10/21/2000,10/21/2000,Los Angeles Times
CA,49,39,10/24/2000,10/24/2000,Research 2000
CA,47,40,10/29/2000,10/29/2000,Field Research Corporation (Field Poll)
CA,44,41,10/29/2000,10/29/2000,Rasmussen Reports/Pulse Opinion Research
CA,47,40,10/31/2000,10/31/2000,Research 2000
CA,49,43,10/31/2000,10/31/2000,SurveyUSA
CA,44,42,11/2/2000,11/2/2000,Zogby Interactive/JZ Analytics
CA,46,41,11/3/2000,11/3/2000,Field Research Corporation (Field Poll)
CA,49,43,11/3/2000,11/3/2000,Harris Interactive
CA,45,44,11/5/2000,11/5/2000,Zogby Interactive/JZ Analytics
CO,39,52,10/23/2000,10/23/2000,SurveyUSA
CO,37,47,10/25/2000,10/25/2000,Ciruli Associates
CO,37,46,10/29/2000,10/29/2000,Ciruli Associates
CO,38,47,11/2/2000,11/2/2000,Ciruli Associates
CO,43,48,11/3/2000,11/3/2000,Harris Interactive
CT,51,40,11/3/2000,11/3/2000,Harris Interactive
DE,49,45,10/23/2000,10/23/2000,SurveyUSA
DE,44,43,10/30/2000,10/30/2000,Rasmussen Reports/Pulse Opinion Research
DE,42,46,10/31/2000,10/31/2000,"Mason-Dixon Polling & Research, Inc."
FL,43,44,10/17/2000,10/17/2000,McLaughlin & Associates
FL,41,46,10/20/2000,10/20/2000,Fleming & Associates
FL,49,45,10/22/2000,10/22/2000,American Research Group
