State,Kerry,Bush,Date,Pollster
AL,39,57,10/25,SurveyUSA
AL,32,56,10/12,Capital Survey
AL,34,62,10/1,SurveyUSA
AL,40,54,9/14,ARG
AL,42,53,9/6,Rasmussen
AL,37,58,8/23,Survey USA
AL,34,51,8/12,Capital Survey
AL,34,56,7/28,Capital Survey
AL,38,52,6/30,Rasmussen
AL,35,54,5/27,Capital Survey
AK,30,57,9/9,ARG
AK,33,56,6/30,Dittman Research
AZ,41,56,10/28,SurveyUSA
AZ,45,50,10/19,Arizona State Univ.
AZ,40,47,10/18,Market Solutions
AZ,43,54,10/17,SurveyUSA
AZ,47,50,10/15,Zogby
AZ,44,49,10/9,Northern Arizona Univ.
AZ,41,55,10/5,Survey
AZ,38,48,10/2,Arizona State Univ.
AZ,47,50,10/2,Zogby
AZ,44,53,9/27,SurveyUSA
AZ,38,49,9/24,Arizona State Univ.
AZ,43,54,9/21,SurveyUSA
AZ,48,49,9/14,Zogby
AZ,39,50,9/13,Mason-Dixon
AZ,43,49,9/12,ARG
AZ,45,48,8/1,Market Solutions
AZ,36,48,7/14,Survey USA
AZ,41,44,6/19,Market Solutions
AZ,37,45,5/5,Rocky Mountain
AR,46,51,11/1,SurveyUSA
AR,43,51,10/27,Mason-Dixon
AR,45,51,10/23,SurveyUSA
AR,48,48,10/18,Opinion Research
AR,46,51,10/15,SurveyUSA
AR,48,50,10/15,Zogby
AR,45,46,10/10,Zogby
AR,43,52,10/4,Opinion Research
AR,47,47,10/2,Zogby
AR,44,53,10/1,SurveyUSA
AR,44,53,9/27,SurveyUSA
AR,44,51,9/18,Rasmussen
AR,45,48,9/15,ARG
AR,47,47,9/14,Zogby
AR,47,48,8/22,Survey USA
AR,46,48,7/30,Zogby
AR,45,47,7/23,Zogby
AR,45,47,7/10,Zogby
AR,47,45,6/20,Zogby
AR,43,51,6/6,Zogby
AR,45,49,5/23,Zogby
CA,54,43,10/29,SurveyUSA
CA,49,42,10/23,Field Poll
CA,53,44,10/22,SurveyUSA
CA,57,39,10/15,LA Times
CA,51,43,10/2,SurveyUSA
CA,49,40,10/1,Field Poll
CA,53,42,9/30,Rasmussen
CA,53,40,9/18,Los Angeles Times
CA,51,39,9/15,Public Policy Institute
CA,55,39,9/12,Rasmussen
CA,52,41,9/11,ARG
CA,52,42,9/6,SurveyUSA
CA,51,42,8/26,Rasmussen
CA,49,46,8/18,Survey USA
CA,51,40,8/4,Field Poll
CA,49,38,7/25,Survey USA
CA,49,38,7/14,Public Policy Institute
CA,52,38,6/30,Rasmussen
CA,51,39,5/24,Field Poll
CO,47,50,10/31,SurveyUSA
CO,47,49,10/30,Zogby
CO,46,52,10/28,SurveyUSA
CO,43,50,10/27,Mason-Dixon
CO,49,47,10/24,Zogby
CO,45,52,10/18,SurveyUSA
CO,42,48,10/16,Ciruli
CO,47,49,10/15,Gallup
CO,48,49,10/15,Zogby
CO,43,49,10/14,Mason-Dixon
CO,44,52,10/5,SurveyUSA
CO,41,50,10/4,Mason-Dixon
CO,48,48,10/4,Gallup
CO,49,48,10/2,Zogby
CO,44,52,9/21,SurveyUSA
CO,39,51,9/15,Ciruli Associates
CO,45,46,9/15,Rasmussen
CO,48,49,9/14,Zogby
CO,45,46,9/11,ARG
CO,47,47,8/19,Rasmussen
CO,47,47,8/16,Survey USA
CO,43,48,6/18,Mason-Dixon
CO,44,49,4/14,Rasmussen
