State,Obama,McCain,Start,End,Pollster
AL,36,61,10/27,28-Oct,SurveyUSA
AL,34,54,10/15,16-Oct,Capital Survey
AL,35,62,10/8,9-Oct,SurveyUSA
AL,35,55,10/6,7-Oct,Capital Survey
AL,39,60,9/22,22-Sep,Rasmussen
AL,34,64,9/16,17-Sep,SurveyUSA
AL,36,58,9/13,16-Sep,ARG
AL,25,52,9/8,15-Sep,U. of South Alabama
AL,35,55,9/3,9-Sep,Capital Survey
AL,34,47,7/29,4-Aug,Capital Survey
AL,37,55,7/31,31-Jul,Rasmussen
AL,36,49,6/25,26-Jun,Capital Survey
AL,36,51,6/26,26-Jun,Rasmussen
AL,33,57,5/29,2-Jun,Capital Survey
AL,32,60,5/27,27-May,Rasmussen
AL,34,57,5/16,18-May,SurveyUSA
AL,36,55,4/16,24-Apr,Capital Survey
AL,32,64,4/11,13-Apr,SurveyUSA
AL,37,55,4/2,2-Apr,Rasmussen
AL,30,57,3/24,27-Mar,U. of South Alabama
AL,35,62,3/14,16-Mar,SurveyUSA
AL,40,54,2/26,28-Feb,SurveyUSA
AL,29,63,1/16,17-Jan,SurveyUSA
AK,41,57,10/28,28-Oct,Rasmussen
AK,42,53,10/17,19-Oct,Ivan Moore Research
AK,38,55,10/3,6-Oct,Ivan Moore Research
AK,40,55,10/6,6-Oct,Rasmussen
AK,37,55,9/17,21-Sep,Fairleigh Dickinson U.
AK,39,55,9/9,11-Sep,ARG
AK,33,64,9/9,9-Sep,Rasmussen
AK,35,54,8/30,2-Sep,Ivan Moore Research
AK,39,44,7/30,30-Jul,Rasmussen
AK,40,45,7/17,17-Jul,Rasmussen
AK,41,45,6/16,16-Jun,Rasmussen
AK,41,50,5/14,14-May,Rasmussen
AK,43,48,4/7,7-Apr,Rasmussen
AK,43,48,2/26,28-Feb,SurveyUSA
AZ,46,50,10/28,30-Oct,ARG
AZ,44,48,10/27,28-Oct,Mason-Dixon
AZ,46,53,10/23,28-Oct,Opinion Research
AZ,41,49,10/18,27-Oct,Northern Arizona U.
AZ,44,46,10/23,26-Oct,Arizona State U.
AZ,46,51,10/26,26-Oct,Rasmussen
AZ,42,44,10/16,19-Oct,Zimmerman
AZ,38,59,9/29,29-Sep,Rasmussen
AZ,38,45,9/25,28-Sep,Arizona State U.
AZ,39,56,9/11,14-Sep,ARG
AZ,30,40,8/14,16-Aug,Arizona State U.
AZ,41,47,8/13,15-Aug,Mason-Dixon
AZ,36,52,7/30,30-Jul,Rasmussen
AZ,40,49,6/25,25-Jun,Rasmussen
AZ,28,38,6/20,21-Jun,Arizona State U.
AZ,39,50,5/12,20-May,Rocky Mtn Poll
AZ,38,47,4/24,27-Apr,Arizona State U.
AZ,37,57,4/15,15-Apr,Rasmussen
AZ,33,55,3/30,8-Apr,Northern Arizona U.
AZ,39,51,2/26,28-Feb,SurveyUSA
AZ,38,49,2/21,24-Feb,Arizona State U.
AR,44,51,10/28,31-Oct,ARG
AR,44,54,10/27,27-Oct,Rasmussen
AR,36,51,10/1,21-Oct,U. of Arkansas
AR,41,53,9/20,22-Sep,ARG
AR,42,51,9/22,22-Sep,Rasmussen
AR,37,47,7/14,14-Jul,Rasmussen
AR,41,45,6/16,16-Jun,Rasmussen
AR,39,48,6/12,12-Jun,Rasmussen
AR,33,57,5/12,12-May,Rasmussen
AR,30,59,3/18,18-Mar,Rasmussen
AR,27,43,3/6,11-Mar,Opinion Res.
AR,33,53,2/26,28-Feb,SurveyUSA
CA,60,36,10/29,31-Oct,SurveyUSA
CA,55,33,10/18,28-Oct,Field Poll
CA,61,34,10/25,25-Oct,Rasmussen
CA,56,33,10/12,19-Oct,Public Policy Inst. of Calif.
CA,59,35,10/15,16-Oct,SurveyUSA
CA,56,40,10/9,9-Oct,Rasmussen
CA,55,39,10/4,5-Oct,SurveyUSA
CA,53,43,9/23,24-Sep,SurveyUSA
CA,56,39,9/22,22-Sep,Rasmussen
CA,53,39,9/18,20-Sep,ARG
CA,50,40,9/9,16-Sep,Public Policy Inst. of Calif.
CA,52,36,9/5,14-Sep,Field Poll
CA,51,37,8/20,20-Aug,Rasmussen
CA,48,39,8/12,19-Aug,Pub. Policy Inst. of Calif.
CA,50,38,7/24,24-Jul,Rasmussen
CA,50,35,7/8,22-Jul,Pub. Policy Inst. of Calif.
CA,54,30,7/8,14-Jul,Field Poll
CA,58,30,6/23,23-Jun,Rasmussen
CA,53,41,6/17,19-Jun,SurveyUSA
CA,52,35,5/16,27-May,Field Poll
CA,47,40,5/20,21-May,LA Times
CA,52,38,5/20,20-May,Rasmussen
CA,49,41,5/16,18-May,SurveyUSA
CA,50,43,4/16,16-Apr,Rasmussen
CA,50,43,4/11,13-Apr,SurveyUSA
CA,49,40,3/11,18-Mar,Public Policy Inst. of Calif.
CA,54,40,3/14,16-Mar,SurveyUSA
CA,53,38,3/12,12-Mar,Rasmussen
CA,51,40,2/26,28-Feb,SurveyUSA
CA,61,34,2/15,17-Feb,SurveyUSA
CO,52,45,10/28,30-Oct,ARG
CO,49,44,10/28,29-Oct,Mason-Dixon
CO,51,45,10/27,28-Oct,Marist Coll.
CO,53,45,10/23,28-Oct,Opinion Research
CO,48,44,10/23,27-Oct,Financial Dynamics
CO,50,41,10/22,26-Oct,GfK Roper
CO,50,46,10/26,26-Oct,Rasmussen
CO,53,45,10/26,26-Oct,Insider Advantage
CO,52,40,10/21,23-Oct,Public Opinion Strat.
CO,51,46,10/20,20-Oct,Insider Advantage
CO,51,46,10/19,19-Oct,Rasmussen
CO,52,45,10/16,16-Oct,Rasmussen
CO,51,47,10/11,14-Oct,Opinion Research
CO,47,43,10/10,13-Oct,Suffolk U.
CO,52,43,10/8,12-Oct,Quinnipiac U.
CO,51,45,10/6,6-Oct,Insider Advantage
CO,51,45,10/5,5-Oct,Rasmussen
CO,44,44,9/29,1-Oct,Mason-Dixon
CO,49,48,9/28,28-Sep,Rasmussen
CO,45,48,9/23,25-Sep,ARG
CO,44,43,9/19,23-Sep,Ciruli Assoc.
CO,50,41,9/23,23-Sep,Insider Advantage
CO,50,47,9/23,23-Sep,Rasmussen
CO,51,47,9/21,23-Sep,Opinion Research
CO,49,45,9/14,21-Sep,Quinnipiac U.
CO,51,41,9/17,17-Sep,Insider Advantage
CO,45,44,9/11,15-Sep,Financial Dynamics
CO,46,48,9/14,14-Sep,Rasmussen
CO,44,46,9/10,13-Sep,ARG
CO,49,46,9/9,10-Sep,Insider Advantage
CO,49,46,9/7,7-Sep,Rasmussen
CO,46,47,8/24,26-Aug,Opinion Research
CO,44,39,8/21,24-Aug,Suffolk U.
CO,46,47,8/15,21-Aug,Quinnipiac U.
CO,46,43,8/13,15-Aug,Mason-Dixon
CO,41,44,8/11,13-Aug,Rocky Mtn Poll
CO,45,47,8/13,13-Aug,Rasmussen
CO,44,46,7/14,22-Jul,Quinnipiac U.
CO,49,42,7/21,21-Jul,Rasmussen
CO,49,44,6/17,24-Jun,Quinnipiac U.
CO,43,41,6/17,17-Jun,Rasmussen
CO,48,42,5/19,19-May,Rasmussen
CO,46,43,4/16,16-Apr,Rasmussen
CO,46,46,3/17,17-Mar,Rasmussen
CO,50,41,2/26,28-Feb,SurveyUSA
CT,56,31,10/18,22-Oct,U. of Connecticut
CT,56,39,10/14,14-Oct,Rasmussen
CT,54,38,9/24,25-Sep,SurveyUSA
CT,49,35,9/19,23-Sep,Pulsar Research
CT,54,39,9/17,19-Sep,ARG
CT,53,41,9/16,16-Sep,Rasmussen
CT,51,36,7/31,31-Jul,Rasmussen
CT,52,35,6/30,30-Jun,Rasmussen
CT,56,35,6/26,29-Jun,Quinnipiac U.
CT,47,44,5/29,29-May,Rasmussen
CT,52,35,3/19,24-Mar,Quinnipiac U.
CT,50,38,3/11,11-Mar,Rasmussen
CT,55,34,2/26,28-Feb,SurveyUSA
DE,63,33,10/27,28-Oct,SurveyUSA
DE,56,41,10/10,10-Oct,Rasmussen
DE,56,38,10/6,8-Oct,West Chester U.
DE,57,37,9/22,23-Sep,SurveyUSA
DE,56,36,9/17,21-Sep,Fairleigh Dickinson U.
DE,51,40,9/13,15-Sep,ARG
DE,55,43,9/13,13-Sep,Rasmussen
DE,50,41,2/26,28-Feb,SurveyUSA
DC,82,13,9/11,13-Sep,ARG
FL,48,46,10/30,2-Nov,Zogby
FL,50,46,10/29,31-Oct,ARG
FL,47,45,10/29,30-Oct,Mason-Dixon
FL,47,47,10/29,30-Oct,Datamar
FL,51,47,10/23,28-Oct,Opinion Research
FL,45,44,10/23,27-Oct,Financial Dynamics
FL,50,43,10/25,27-Oct,LA Times
FL,45,43,10/22,26-Oct,GfK Roper
FL,47,45,10/22,26-Oct,Quinnipiac U.
FL,47,47,10/23,26-Oct,Zogby
FL,49,44,10/23,26-Oct,Suffolk U.
FL,49,44,10/25,26-Oct,Datamar
FL,51,47,10/26,26-Oct,Rasmussen
FL,48,47,10/22,22-Oct,Insider Advantage
FL,49,42,10/20,22-Oct,Polling Company
FL,45,46,10/20,21-Oct,Mason-Dixon
FL,49,44,10/16,21-Oct,Quinnipiac U.
FL,48,49,10/19,19-Oct,Rasmussen
FL,47,49,10/16,17-Oct,SurveyUSA
FL,51,46,10/11,14-Oct,Opinion Research
FL,47,42,10/12,13-Oct,Datamar
FL,48,44,10/13,13-Oct,Insider Advantage
FL,51,46,10/12,12-Oct,Rasmussen
FL,50,47,10/8,8-Oct,Rasmussen
FL,48,46,10/4,6-Oct,Mason-Dixon
FL,52,45,10/5,5-Oct,Rasmussen
FL,46,42,9/27,30-Sep,Suffolk U.
FL,49,46,9/30,30-Sep,Insider Advantage
FL,51,47,9/28,30-Sep,Opinion Research
FL,51,43,9/27,29-Sep,Quinnipiac U.
FL,47,47,9/28,28-Sep,Rasmussen
FL,47,48,9/27,28-Sep,SurveyUSA
FL,47,46,9/23,25-Sep,ARG
FL,47,48,9/24,24-Sep,Rasmussen
FL,46,51,9/21,21-Sep,Rasmussen
FL,47,45,9/16,18-Sep,Mason-Dixon
FL,45,47,9/14,17-Sep,Schroth/Polling Co.
FL,45,51,9/16,17-Sep,SurveyUSA
FL,46,46,9/14,17-Sep,ARG
FL,48,48,9/14,16-Sep,Opinion Research
FL,44,44,9/11,15-Sep,Financial Dynamics
FL,44,49,9/14,14-Sep,Rasmussen
FL,42,50,9/9,10-Sep,Insider Advantage
FL,43,50,9/5,9-Sep,Quinnipiac U.
FL,48,48,9/7,7-Sep,Rasmussen
FL,45,44,8/25,26-Aug,Mason-Dixon
FL,43,47,8/17,24-Aug,Quinnipiac U.
FL,46,47,8/18,20-Aug,ARG
FL,43,46,8/18,18-Aug,Rasmussen
FL,44,48,8/11,11-Aug,Insider Advantage
FL,44,50,8/1,3-Aug,SurveyUSA
FL,46,44,7/23,29-Jul,Quinnipiac U.
FL,46,45,7/22,22-Jul,Rasmussen
FL,45,47,7/19,21-Jul,ARG
FL,41,48,6/26,26-Jun,Rasmussen
FL,39,47,6/18,18-Jun,Rasmussen
