<<<<<<< HEAD
"election_year","State","Date","Candidate","party","days_till_election","id","value"
"2012","AL",2012-06-27,"Obama","D",132,14263,36
"2012","AL",2012-06-27,"Romney","R",132,14263,51
"2012","AR",2012-03-26,"Obama","D",225,13437,33
"2012","AR",2012-03-26,"Romney","R",225,13437,57
"2012","AR",2012-09-17,"Obama","D",50,15292,35
"2012","AR",2012-09-17,"Romney","R",50,15292,56
"2012","AR",2012-10-14,"Obama","D",23,16105,31
"2012","AR",2012-10-14,"Romney","R",23,16105,58
"2012","AZ",2011-10-24,"Obama","D",379,12612,45
"2012","AZ",2011-10-24,"Romney","R",379,12612,40
"2012","AZ",2011-11-20,"Obama","D",352,12521,42
"2012","AZ",2011-11-20,"Romney","R",352,12521,49
"2012","AZ",2012-01-09,"Obama","D",302,12520,37
"2012","AZ",2012-01-09,"Romney","R",302,12520,43
"2012","AZ",2012-02-19,"Obama","D",261,12966,47
"2012","AZ",2012-02-19,"Romney","R",261,12966,47
"2012","AZ",2012-02-20,"Obama","D",260,12990,40
"2012","AZ",2012-02-20,"Romney","R",260,12990,45
"2012","AZ",2012-03-13,"Obama","D",238,13221,40
"2012","AZ",2012-03-13,"Romney","R",238,13221,51
"2012","AZ",2012-04-17,"Obama","D",203,13613,42
"2012","AZ",2012-04-17,"Romney","R",203,13613,40
"2012","AZ",2012-04-20,"Obama","D",200,13605,40
"2012","AZ",2012-04-20,"Romney","R",200,13605,42
"2012","AZ",2012-05-02,"Obama","D",188,13685,43
"2012","AZ",2012-05-02,"Romney","R",188,13685,52
"2012","AZ",2012-05-20,"Obama","D",170,13883,43
"2012","AZ",2012-05-20,"Romney","R",170,13883,50
"2012","AZ",2012-06-05,"Obama","D",154,14127,46
"2012","AZ",2012-06-05,"Romney","R",154,14127,49
"2012","AZ",2012-06-26,"Obama","D",133,14196,41
"2012","AZ",2012-06-26,"Romney","R",133,14196,54
"2012","AZ",2012-07-25,"Obama","D",104,14523,41
"2012","AZ",2012-07-25,"Romney","R",104,14523,52
"2012","AZ",2012-09-09,"Obama","D",58,14970,44
"2012","AZ",2012-09-09,"Romney","R",58,14970,53
"2012","AZ",2012-09-14,"Obama","D",53,15230,41
"2012","AZ",2012-09-14,"Romney","R",53,15230,51
"2012","AZ",2012-09-19,"Obama","D",48,15204,45
"2012","AZ",2012-09-19,"Romney","R",48,15204,48
"2012","AZ",2012-09-25,"Obama","D",42,15328,42
"2012","AZ",2012-09-25,"Romney","R",42,15328,52
"2012","AZ",2012-09-26,"Obama","D",41,15409,42
"2012","AZ",2012-09-26,"Romney","R",41,15409,46
"2012","AZ",2012-10-03,"Obama","D",34,15503,44
"2012","AZ",2012-10-03,"Romney","R",34,15503,53
"2012","AZ",2012-10-10,"Obama","D",27,15765,42
"2012","AZ",2012-10-10,"Romney","R",27,15765,40
"2012","AZ",2012-10-11,"Obama","D",26,15861,43
"2012","AZ",2012-10-11,"Romney","R",26,15861,52
"2012","AZ",2012-10-21,"Obama","D",16,16184,44
"2012","AZ",2012-10-21,"Romney","R",16,16184,52
"2012","AZ",2012-11-03,"Obama","D",3,16560,45
"2012","AZ",2012-11-03,"Romney","R",3,16560,52.5
"2012","CA",2011-01-30,"Obama","D",646,10921,56
"2012","CA",2011-01-30,"Romney","R",646,10921,36
"2012","CA",2011-11-09,"Obama","D",363,12142,52
"2012","CA",2011-11-09,"Romney","R",363,12142,35
"2012","CA",2011-11-10,"Obama","D",362,12556,50
"2012","CA",2011-11-10,"Romney","R",362,12556,39
"2012","CA",2011-11-13,"Obama","D",359,12141,57
"2012","CA",2011-11-13,"Romney","R",359,12141,36
"2012","CA",2011-11-27,"Obama","D",345,12189,50
"2012","CA",2011-11-27,"Romney","R",345,12189,40
"2012","CA",2012-02-09,"Obama","D",271,13139,60
"2012","CA",2012-02-09,"Romney","R",271,13139,31
"2012","CA",2012-02-16,"Obama","D",264,13137,57
"2012","CA",2012-02-16,"Romney","R",264,13137,35
"2012","CA",2012-02-18,"Obama","D",262,13138,55
"2012","CA",2012-02-18,"Romney","R",262,13138,35
"2012","CA",2012-03-19,"Obama","D",232,13359,57
"2012","CA",2012-03-19,"Romney","R",232,13359,36
"2012","CA",2012-04-02,"Obama","D",218,13427,62
"2012","CA",2012-04-02,"Romney","R",218,13427,31
"2012","CA",2012-05-20,"Obama","D",170,13907,50
"2012","CA",2012-05-20,"Romney","R",170,13907,39
"2012","CA",2012-05-21,"Obama","D",169,13908,56
"2012","CA",2012-05-21,"Romney","R",169,13908,37
"2012","CA",2012-05-29,"Obama","D",161,13975,52.5
"2012","CA",2012-05-29,"Romney","R",161,13975,34
"2012","CA",2012-07-02,"Obama","D",127,14260,55
"2012","CA",2012-07-02,"Romney","R",127,14260,37
"2012","CA",2012-07-17,"Obama","D",112,14419,52
"2012","CA",2012-07-17,"Romney","R",112,14419,33
"2012","CA",2012-08-07,"Obama","D",91,14761,56
"2012","CA",2012-08-07,"Romney","R",91,14761,33
"2012","CA",2012-09-11,"Obama","D",56,14994,57
"2012","CA",2012-09-11,"Romney","R",56,14994,35
"2012","CA",2012-09-12,"Obama","D",55,15037,55
"2012","CA",2012-09-12,"Romney","R",55,15037,33
"2012","CA",2012-09-14,"Obama","D",53,15220,56
"2012","CA",2012-09-14,"Romney","R",53,15220,39
"2012","CA",2012-09-16,"Obama","D",51,15221,53
"2012","CA",2012-09-16,"Romney","R",51,15221,39
"2012","CA",2012-09-17,"Obama","D",50,15140,58
"2012","CA",2012-09-17,"Romney","R",50,15140,34
"2012","CA",2012-10-09,"Obama","D",28,15694,53
"2012","CA",2012-10-09,"Romney","R",28,15694,39
"2012","CA",2012-10-10,"Obama","D",27,15722,54
"2012","CA",2012-10-10,"Romney","R",27,15722,33
"2012","CA",2012-10-11,"Obama","D",26,15849,58
"2012","CA",2012-10-11,"Romney","R",26,15849,39
"2012","CA",2012-10-15,"Obama","D",22,15948,53
"2012","CA",2012-10-15,"Romney","R",22,15948,38
"2012","CA",2012-10-21,"Obama","D",16,16136,54
"2012","CA",2012-10-21,"Romney","R",16,16136,40
"2012","CA",2012-10-28,"Obama","D",9,16376,56
"2012","CA",2012-10-28,"Romney","R",9,16376,33
"2012","CA",2012-10-30,"Obama","D",7,16496,54
"2012","CA",2012-10-30,"Romney","R",7,16496,39
"2012","CA",2012-11-03,"Obama","D",3,16569,55
"2012","CA",2012-11-03,"Romney","R",3,16569,40
"2012","CO",2011-12-04,"Obama","D",338,12233,47
"2012","CO",2011-12-04,"Romney","R",338,12233,45
"2012","CO",2012-04-07,"Obama","D",213,13490,53
"2012","CO",2012-04-07,"Romney","R",213,13490,40
"2012","CO",2012-04-23,"Obama","D",197,13616,47
"2012","CO",2012-04-23,"Romney","R",197,13616,47
"2012","CO",2012-05-24,"Obama","D",166,13928,47
"2012","CO",2012-05-24,"Romney","R",166,13928,44.5
"2012","CO",2012-06-05,"Obama","D",154,14034,48
"2012","CO",2012-06-05,"Romney","R",154,14034,46
"2012","CO",2012-06-06,"Obama","D",153,14026,45
"2012","CO",2012-06-06,"Romney","R",153,14026,45
"2012","CO",2012-06-17,"Obama","D",142,14119,49
"2012","CO",2012-06-17,"Romney","R",142,14119,42
"2012","CO",2012-06-25,"Obama","D",134,14174,47
"2012","CO",2012-06-25,"Romney","R",134,14174,43
"2012","CO",2012-07-03,"Obama","D",126,14320,49
"2012","CO",2012-07-03,"Romney","R",126,14320,42
"2012","CO",2012-07-13,"Obama","D",116,14355,45
"2012","CO",2012-07-13,"Romney","R",116,14355,44
"2012","CO",2012-08-05,"Obama","D",93,14583,49
"2012","CO",2012-08-05,"Romney","R",93,14583,43
"2012","CO",2012-08-06,"Obama","D",92,14579,46
"2012","CO",2012-08-06,"Romney","R",92,14579,48.5
"2012","CO",2012-08-09,"Obama","D",89,14784,45
"2012","CO",2012-08-09,"Romney","R",89,14784,46
"2012","CO",2012-08-14,"Obama","D",84,14665,49
"2012","CO",2012-08-14,"Romney","R",84,14665,46
"2012","CO",2012-08-22,"Obama","D",76,14767,48
"2012","CO",2012-08-22,"Romney","R",76,14767,44
"2012","CO",2012-09-02,"Obama","D",65,14870,49
"2012","CO",2012-09-02,"Romney","R",65,14870,46
"2012","CO",2012-09-11,"Obama","D",56,15011,49
"2012","CO",2012-09-11,"Romney","R",56,15011,44
"2012","CO",2012-09-12,"Obama","D",55,15010,47
"2012","CO",2012-09-12,"Romney","R",55,15010,45.5
"2012","CO",2012-09-14,"Obama","D",53,15151,50
"2012","CO",2012-09-14,"Romney","R",53,15151,45
"2012","CO",2012-09-17,"Obama","D",50,15104,46.5
"2012","CO",2012-09-17,"Romney","R",50,15104,47
"2012","CO",2012-09-18,"Obama","D",49,15196,50
"2012","CO",2012-09-18,"Romney","R",49,15196,45
"2012","CO",2012-09-19,"Obama","D",48,15197,48
"2012","CO",2012-09-19,"Romney","R",48,15197,45
"2012","CO",2012-09-22,"Obama","D",45,15345,50
"2012","CO",2012-09-22,"Romney","R",45,15345,46
"2012","CO",2012-09-23,"Obama","D",44,15254,51
"2012","CO",2012-09-23,"Romney","R",44,15254,45
"2012","CO",2012-09-27,"Obama","D",40,15444,49
"2012","CO",2012-09-27,"Romney","R",40,15444,46
"2012","CO",2012-10-02,"Obama","D",35,15545,46
"2012","CO",2012-10-02,"Romney","R",35,15545,50
"2012","CO",2012-10-04,"Obama","D",33,15569,46
"2012","CO",2012-10-04,"Romney","R",33,15569,49
"2012","CO",2012-10-05,"Obama","D",32,15567,47
"2012","CO",2012-10-05,"Romney","R",32,15567,43
"2012","CO",2012-10-07,"Obama","D",30,15583,49
"2012","CO",2012-10-07,"Romney","R",30,15583,48
"2012","CO",2012-10-08,"Obama","D",29,15628,46
"2012","CO",2012-10-08,"Romney","R",29,15628,50
"2012","CO",2012-10-09,"Obama","D",28,15680,47
"2012","CO",2012-10-09,"Romney","R",28,15680,48
"2012","CO",2012-10-10,"Obama","D",27,15754,45
"2012","CO",2012-10-10,"Romney","R",27,15754,46
"2012","CO",2012-10-11,"Obama","D",26,15777,48
"2012","CO",2012-10-11,"Romney","R",26,15777,45.5
"2012","CO",2012-10-15,"Obama","D",22,15821,47
"2012","CO",2012-10-15,"Romney","R",22,15821,48
"2012","CO",2012-10-16,"Obama","D",21,15897,47
"2012","CO",2012-10-16,"Romney","R",21,15897,44
"2012","CO",2012-10-18,"Obama","D",19,15931,50
"2012","CO",2012-10-18,"Romney","R",19,15931,47
"2012","CO",2012-10-21,"Obama","D",16,16022,46
"2012","CO",2012-10-21,"Romney","R",16,16022,50
"2012","CO",2012-10-24,"Obama","D",13,16156,47.3333333333333
"2012","CO",2012-10-24,"Romney","R",13,16156,45.3333333333333
"2012","CO",2012-10-25,"Obama","D",12,16172,49
"2012","CO",2012-10-25,"Romney","R",12,16172,46.5
"2012","CO",2012-10-28,"Obama","D",9,16277,47
"2012","CO",2012-10-28,"Romney","R",9,16277,48
"2012","CO",2012-10-29,"Obama","D",8,16374,47.5
"2012","CO",2012-10-29,"Romney","R",8,16374,47.5
"2012","CO",2012-10-30,"Obama","D",7,16392,50
"2012","CO",2012-10-30,"Romney","R",7,16392,47
"2012","CO",2012-10-31,"Obama","D",6,16434,48.5
"2012","CO",2012-10-31,"Romney","R",6,16434,46.5
"2012","CO",2012-11-01,"Obama","D",5,16462,50
"2012","CO",2012-11-01,"Romney","R",5,16462,46
"2012","CO",2012-11-02,"Obama","D",4,16481,46
"2012","CO",2012-11-02,"Romney","R",4,16481,46
"2012","CO",2012-11-03,"Obama","D",3,16585,48
"2012","CO",2012-11-03,"Romney","R",3,16585,47
"2012","CO",2012-11-04,"Obama","D",2,16626,49
"2012","CO",2012-11-04,"Romney","R",2,16626,45.3333333333333
"2012","CO",2012-11-05,"Obama","D",1,16667,48
"2012","CO",2012-11-05,"Romney","R",1,16667,47
"2012","CT",2012-03-19,"Obama","D",232,13292,53
"2012","CT",2012-03-19,"Romney","R",232,13292,37
"2012","CT",2012-06-03,"Obama","D",156,14016,50
"2012","CT",2012-06-03,"Romney","R",156,14016,38
"2012","CT",2012-07-29,"Obama","D",100,14536,51
"2012","CT",2012-07-29,"Romney","R",100,14536,43
"2012","CT",2012-08-21,"Obama","D",77,14754,51
"2012","CT",2012-08-21,"Romney","R",77,14754,43
"2012","CT",2012-08-23,"Obama","D",75,14822,53
"2012","CT",2012-08-23,"Romney","R",75,14822,40
"2012","CT",2012-08-26,"Obama","D",72,14806,52
"2012","CT",2012-08-26,"Romney","R",72,14806,45
"2012","CT",2012-09-14,"Obama","D",53,15189,53
"2012","CT",2012-09-14,"Romney","R",53,15189,40
"2012","CT",2012-09-16,"Obama","D",51,15150,53
"2012","CT",2012-09-16,"Romney","R",51,15150,32
"2012","CT",2012-09-26,"Obama","D",41,15355,54
"2012","CT",2012-09-26,"Romney","R",41,15355,41
"2012","CT",2012-10-02,"Obama","D",35,15513,54
"2012","CT",2012-10-02,"Romney","R",35,15513,42
"2012","CT",2012-10-07,"Obama","D",30,15637,51
"2012","CT",2012-10-07,"Romney","R",30,15637,45
"2012","CT",2012-10-11,"Obama","D",26,15859,53
"2012","CT",2012-10-11,"Romney","R",26,15859,39
"2012","CT",2012-10-14,"Obama","D",23,15869,53
"2012","CT",2012-10-14,"Romney","R",23,15869,38
"2012","CT",2012-10-16,"Obama","D",21,15912,52
"2012","CT",2012-10-16,"Romney","R",21,15912,40.5
"2012","CT",2012-10-17,"Obama","D",20,16168,49
"2012","CT",2012-10-17,"Romney","R",20,16168,42
"2012","CT",2012-10-21,"Obama","D",16,16063,52.5
"2012","CT",2012-10-21,"Romney","R",16,16063,42.5
"2012","CT",2012-10-22,"Obama","D",15,16104,55
"2012","CT",2012-10-22,"Romney","R",15,16104,41
"2012","CT",2012-11-02,"Obama","D",4,16485,55
"2012","CT",2012-11-02,"Romney","R",4,16485,42
"2012","CT",2012-11-03,"Obama","D",3,16571,54
"2012","CT",2012-11-03,"Romney","R",3,16571,39
"2012","DC",2012-10-14,"Obama","D",23,15956,88
"2012","DC",2012-10-14,"Romney","R",23,15956,8
"2012","FL",2011-03-27,"Obama","D",590,11135,46
"2012","FL",2011-03-27,"Romney","R",590,11135,44
"2012","FL",2011-04-07,"Obama","D",579,11181,43
"2012","FL",2011-04-07,"Romney","R",579,11181,48
"2012","FL",2011-04-12,"Obama","D",574,11200,42
"2012","FL",2011-04-12,"Romney","R",574,11200,43
"2012","FL",2011-06-19,"Obama","D",506,11566,47
"2012","FL",2011-06-19,"Romney","R",506,11566,43
"2012","FL",2011-10-12,"Obama","D",391,12527,45
"2012","FL",2011-10-12,"Romney","R",391,12527,43
"2012","FL",2011-11-07,"Obama","D",365,12103,42
"2012","FL",2011-11-07,"Romney","R",365,12103,45
"2012","FL",2011-11-17,"Obama","D",355,12526,42
"2012","FL",2011-11-17,"Romney","R",355,12526,46
"2012","FL",2011-12-01,"Obama","D",341,12192,45
"2012","FL",2011-12-01,"Romney","R",341,12192,44
"2012","FL",2011-12-05,"Obama","D",337,12525,42
"2012","FL",2011-12-05,"Romney","R",337,12525,45
"2012","FL",2011-12-07,"Obama","D",335,12524,48
"2012","FL",2011-12-07,"Romney","R",335,12524,41
"2012","FL",2012-01-08,"Obama","D",303,12445,43
"2012","FL",2012-01-08,"Romney","R",303,12445,46
"2012","FL",2012-01-18,"Obama","D",293,12580,46
"2012","FL",2012-01-18,"Romney","R",293,12580,45
"2012","FL",2012-01-23,"Obama","D",288,12639,45
"2012","FL",2012-01-23,"Romney","R",288,12639,45
"2012","FL",2012-01-24,"Obama","D",287,12640,42
"2012","FL",2012-01-24,"Romney","R",287,12640,47
"2012","FL",2012-01-26,"Obama","D",285,12651,44
"2012","FL",2012-01-26,"Romney","R",285,12651,48
"2012","FL",2012-01-27,"Obama","D",284,12652,49
"2012","FL",2012-01-27,"Romney","R",284,12652,41
"2012","FL",2012-02-09,"Obama","D",271,12832,47
"2012","FL",2012-02-09,"Romney","R",271,12832,44
"2012","FL",2012-03-13,"Obama","D",238,13220,46
"2012","FL",2012-03-13,"Romney","R",238,13220,43
"2012","FL",2012-03-26,"Obama","D",225,13368,49
"2012","FL",2012-03-26,"Romney","R",225,13368,42
"2012","FL",2012-04-15,"Obama","D",205,13541,50
"2012","FL",2012-04-15,"Romney","R",205,13541,45
"2012","FL",2012-04-17,"Obama","D",203,13570,45
"2012","FL",2012-04-17,"Romney","R",203,13570,43
"2012","FL",2012-04-23,"Obama","D",197,13618,45
"2012","FL",2012-04-23,"Romney","R",197,13618,47
"2012","FL",2012-04-25,"Obama","D",195,13635,45
"2012","FL",2012-04-25,"Romney","R",195,13635,46
"2012","FL",2012-05-01,"Obama","D",189,13677,43
"2012","FL",2012-05-01,"Romney","R",189,13677,44
"2012","FL",2012-05-08,"Obama","D",182,13725,46
"2012","FL",2012-05-08,"Romney","R",182,13725,45
"2012","FL",2012-05-20,"Obama","D",170,13891,48
"2012","FL",2012-05-20,"Romney","R",170,13891,44
"2012","FL",2012-05-21,"Obama","D",169,13872,41
"2012","FL",2012-05-21,"Romney","R",169,13872,47
"2012","FL",2012-06-03,"Obama","D",156,14009,50
"2012","FL",2012-06-03,"Romney","R",156,14009,46
"2012","FL",2012-06-05,"Obama","D",154,14037,45
"2012","FL",2012-06-05,"Romney","R",154,14037,49
"2012","FL",2012-06-18,"Obama","D",141,14141,46
