<<<<<<< HEAD
<<<<<<< HEAD
=======
>>>>>>> update
"election_year","State","Date","Candidate","party","days_till_election","id","value"
"2000","AK",2000-11-03,"Bush","R",4,1657,54
"2000","AK",2000-11-03,"Gore","D",4,1657,31
"2000","AL",2000-10-18,"Bush","R",20,1658,53
"2000","AL",2000-10-18,"Gore","D",20,1658,33
"2000","AL",2000-10-19,"Bush","R",19,1659,55
"2000","AL",2000-10-19,"Gore","D",19,1659,37
"2000","AL",2000-11-01,"Bush","R",6,1660,48
"2000","AL",2000-11-01,"Gore","D",6,1660,28
"2000","AL",2000-11-03,"Bush","R",4,1661,55
"2000","AL",2000-11-03,"Gore","D",4,1661,38
"2000","AR",2000-10-28,"Bush","R",10,1662,45
"2000","AR",2000-10-28,"Gore","D",10,1662,44
"2000","AR",2000-10-29,"Bush","R",9,1663,46
"2000","AR",2000-10-29,"Gore","D",9,1663,46
"2000","AR",2000-10-31,"Bush","R",7,1664,47
"2000","AR",2000-10-31,"Gore","D",7,1664,44
"2000","AR",2000-11-02,"Bush","R",5,1665,47
"2000","AR",2000-11-02,"Gore","D",5,1665,45
"2000","AZ",2000-10-21,"Bush","R",17,1666,49
"2000","AZ",2000-10-21,"Gore","D",17,1666,38
"2000","AZ",2000-10-29,"Bush","R",9,1668,52
"2000","AZ",2000-10-29,"Gore","D",9,1668,42
"2000","AZ",2000-10-30,"Bush","R",8,1669,49
"2000","AZ",2000-10-30,"Gore","D",8,1669,39
"2000","AZ",2000-11-03,"Bush","R",4,1670,52
"2000","AZ",2000-11-03,"Gore","D",4,1670,40
"2000","CA",2000-10-21,"Bush","R",17,1671,41
"2000","CA",2000-10-21,"Gore","D",17,1671,48
"2000","CA",2000-10-24,"Bush","R",14,1673,39
"2000","CA",2000-10-24,"Gore","D",14,1673,49
"2000","CA",2000-10-29,"Bush","R",9,1674,40.5
"2000","CA",2000-10-29,"Gore","D",9,1674,45.5
"2000","CA",2000-10-31,"Bush","R",7,1676,41.5
"2000","CA",2000-10-31,"Gore","D",7,1676,48
"2000","CA",2000-11-02,"Bush","R",5,1678,42
"2000","CA",2000-11-02,"Gore","D",5,1678,44
"2000","CA",2000-11-03,"Bush","R",4,1679,42
"2000","CA",2000-11-03,"Gore","D",4,1679,47.5
"2000","CA",2000-11-05,"Bush","R",2,1681,44
"2000","CA",2000-11-05,"Gore","D",2,1681,45
"2000","CO",2000-10-23,"Bush","R",15,1682,52
"2000","CO",2000-10-23,"Gore","D",15,1682,39
"2000","CO",2000-10-25,"Bush","R",13,1683,47
"2000","CO",2000-10-25,"Gore","D",13,1683,37
"2000","CO",2000-10-29,"Bush","R",9,1684,46
"2000","CO",2000-10-29,"Gore","D",9,1684,37
"2000","CO",2000-11-02,"Bush","R",5,1685,47
"2000","CO",2000-11-02,"Gore","D",5,1685,38
"2000","CO",2000-11-03,"Bush","R",4,1686,48
"2000","CO",2000-11-03,"Gore","D",4,1686,43
"2000","CT",2000-11-03,"Bush","R",4,1687,40
"2000","CT",2000-11-03,"Gore","D",4,1687,51
"2000","DE",2000-10-23,"Bush","R",15,1688,45
"2000","DE",2000-10-23,"Gore","D",15,1688,49
"2000","DE",2000-10-30,"Bush","R",8,1689,43
"2000","DE",2000-10-30,"Gore","D",8,1689,44
"2000","DE",2000-10-31,"Bush","R",7,1690,46
"2000","DE",2000-10-31,"Gore","D",7,1690,42
"2000","FL",2000-10-17,"Bush","R",21,1691,44
"2000","FL",2000-10-17,"Gore","D",21,1691,43
"2000","FL",2000-10-20,"Bush","R",18,1692,46
"2000","FL",2000-10-20,"Gore","D",18,1692,41
"2000","FL",2000-10-22,"Bush","R",16,1693,45
"2000","FL",2000-10-22,"Gore","D",16,1693,49
"2000","FL",2000-10-23,"Bush","R",15,1694,43
"2000","FL",2000-10-23,"Gore","D",15,1694,48
"2000","FL",2000-10-25,"Bush","R",13,1695,46
"2000","FL",2000-10-25,"Gore","D",13,1695,45
"2000","FL",2000-10-27,"Bush","R",11,1696,43
"2000","FL",2000-10-27,"Gore","D",11,1696,48
"2000","FL",2000-10-28,"Bush","R",10,1697,47
"2000","FL",2000-10-28,"Gore","D",10,1697,44
"2000","FL",2000-10-30,"Bush","R",8,1698,39
"2000","FL",2000-10-30,"Gore","D",8,1698,49
"2000","FL",2000-10-31,"Bush","R",7,1699,45
"2000","FL",2000-10-31,"Gore","D",7,1699,46.5
"2000","FL",2000-11-01,"Bush","R",6,1701,47
"2000","FL",2000-11-01,"Gore","D",6,1701,45
"2000","FL",2000-11-02,"Bush","R",5,1702,42
"2000","FL",2000-11-02,"Gore","D",5,1702,47
"2000","FL",2000-11-03,"Bush","R",4,1703,46
"2000","FL",2000-11-03,"Gore","D",4,1703,49
"2000","FL",2000-11-04,"Bush","R",3,1704,46
"2000","FL",2000-11-04,"Gore","D",3,1704,50
"2000","FL",2000-11-05,"Bush","R",2,1705,46
"2000","FL",2000-11-05,"Gore","D",2,1705,48
"2000","GA",2000-10-22,"Bush","R",16,1706,50
"2000","GA",2000-10-22,"Gore","D",16,1706,40
"2000","GA",2000-10-29,"Bush","R",9,1707,53
"2000","GA",2000-10-29,"Gore","D",9,1707,37
"2000","GA",2000-11-03,"Bush","R",4,1708,51
"2000","GA",2000-11-03,"Gore","D",4,1708,43
"2000","HI",2000-10-22,"Bush","R",16,1709,31
"2000","HI",2000-10-22,"Gore","D",16,1709,50
"2000","HI",2000-11-03,"Bush","R",4,1710,38
"2000","HI",2000-11-03,"Gore","D",4,1710,53
"2000","IA",2000-10-29,"Bush","R",9,1711,46
"2000","IA",2000-10-29,"Gore","D",9,1711,46
"2000","IA",2000-10-31,"Bush","R",7,1712,44
"2000","IA",2000-10-31,"Gore","D",7,1712,41
"2000","IA",2000-11-01,"Bush","R",6,1713,42.5
"2000","IA",2000-11-01,"Gore","D",6,1713,44
"2000","IA",2000-11-02,"Bush","R",5,1715,46
"2000","IA",2000-11-02,"Gore","D",5,1715,42
"2000","IA",2000-11-03,"Bush","R",4,1716,44
"2000","IA",2000-11-03,"Gore","D",4,1716,50
"2000","ID",2000-10-21,"Bush","R",17,1717,62
"2000","ID",2000-10-21,"Gore","D",17,1717,24
"2000","ID",2000-10-26,"Bush","R",12,1718,56
"2000","ID",2000-10-26,"Gore","D",12,1718,30
"2000","ID",2000-11-03,"Bush","R",4,1719,65
"2000","ID",2000-11-03,"Gore","D",4,1719,27
"2000","IL",2000-10-17,"Bush","R",21,1720,41.5
"2000","IL",2000-10-17,"Gore","D",21,1720,46
"2000","IL",2000-10-22,"Bush","R",16,1722,35
"2000","IL",2000-10-22,"Gore","D",16,1722,45
"2000","IL",2000-10-23,"Bush","R",15,1723,39
"2000","IL",2000-10-23,"Gore","D",15,1723,43.5
"2000","IL",2000-10-25,"Bush","R",13,1725,39
"2000","IL",2000-10-25,"Gore","D",13,1725,46
"2000","IL",2000-10-26,"Bush","R",12,1726,45
"2000","IL",2000-10-26,"Gore","D",12,1726,42
"2000","IL",2000-10-27,"Bush","R",11,1727,39
"2000","IL",2000-10-27,"Gore","D",11,1727,46
"2000","IL",2000-10-29,"Bush","R",9,1728,43
"2000","IL",2000-10-29,"Gore","D",9,1728,46
"2000","IL",2000-10-30,"Bush","R",8,1729,41
"2000","IL",2000-10-30,"Gore","D",8,1729,47
"2000","IL",2000-11-01,"Bush","R",6,1730,42
"2000","IL",2000-11-01,"Gore","D",6,1730,48
"2000","IL",2000-11-02,"Bush","R",5,1731,39
"2000","IL",2000-11-02,"Gore","D",5,1731,48
"2000","IL",2000-11-03,"Bush","R",4,1732,45
"2000","IL",2000-11-03,"Gore","D",4,1732,51
"2000","IL",2000-11-05,"Bush","R",2,1733,42
"2000","IL",2000-11-05,"Gore","D",2,1733,50
"2000","IN",2000-10-27,"Bush","R",11,1734,53
"2000","IN",2000-10-27,"Gore","D",11,1734,30
"2000","IN",2000-10-30,"Bush","R",8,1735,52
"2000","IN",2000-10-30,"Gore","D",8,1735,33
"2000","IN",2000-11-01,"Bush","R",6,1736,60
"2000","IN",2000-11-01,"Gore","D",6,1736,32
"2000","IN",2000-11-03,"Bush","R",4,1737,56
"2000","IN",2000-11-03,"Gore","D",4,1737,39
"2000","KS",2000-11-03,"Bush","R",4,1738,55
"2000","KS",2000-11-03,"Gore","D",4,1738,38
"2000","KY",2000-10-21,"Bush","R",17,1739,48
"2000","KY",2000-10-21,"Gore","D",17,1739,39
