"","electoral_vote_list"
"1",333
"2",390
"3",289
"4",343
"5",282
"6",332
"7",325
"8",319
"9",395
"10",313
"11",259
"12",340
"13",305
"14",291
"15",302
"16",338
"17",318
"18",269
"19",299
"20",324
"21",353
"22",347
"23",371
"24",303
"25",307
"26",318
"27",356
"28",288
"29",266
"30",332
"31",345
"32",273
"33",357
"34",296
"35",355
"36",336
"37",334
"38",317
"39",289
"40",308
"41",299
"42",293
"43",302
"44",337
"45",265
"46",324
"47",309
"48",342
"49",359
"50",317
"51",299
"52",342
"53",254
"54",302
"55",327
"56",290
"57",353
"58",342
"59",285
"60",351
"61",237
"62",352
"63",336
"64",369
"65",260
"66",329
"67",350
"68",304
"69",316
"70",341
"71",334
"72",317
"73",360
"74",346
"75",329
"76",202
"77",244
"78",335
"79",301
"80",281
"81",303
"82",352
"83",334
"84",344
"85",355
"86",301
"87",326
"88",289
"89",317
"90",310
"91",358
"92",353
"93",319
"94",353
"95",335
"96",252
"97",357
"98",338
"99",347
"100",349
"101",325
"102",363
"103",339
"104",365
"105",286
"106",283
"107",314
"108",283
"109",325
"110",350
"111",350
"112",271
"113",238
"114",287
"115",289
"116",260
"117",276
"118",325
"119",223
"120",281
"121",357
"122",367
"123",247
"124",332
"125",370
"126",288
"127",367
"128",264
"129",348
"130",250
"131",343
"132",295
"133",337
"134",316
"135",341
"136",270
"137",335
"138",259
"139",296
"140",284
"141",334
"142",318
"143",357
"144",341
"145",315
"146",355
"147",329
"148",286
"149",324
"150",400
"151",351
"152",341
"153",287
"154",285
"155",302
"156",265
"157",315
"158",353
"159",334
"160",309
"161",309
"162",342
"163",279
"164",307
"165",339
"166",331
"167",271
"168",316
"169",311
"170",265
"171",295
"172",292
"173",301
"174",311
"175",322
"176",268
"177",366
"178",358
"179",339
"180",257
"181",324
"182",328
"183",333
"184",261
"185",317
"186",324
"187",347
"188",324
"189",343
"190",300
"191",329
"192",354
"193",299
"194",240
"195",281
"196",364
"197",299
"198",314
"199",280
"200",324
"201",285
"202",335
"203",386
"204",253
"205",326
"206",309
"207",314
"208",315
"209",352
"210",275
"211",347
"212",318
"213",293
"214",340
"215",326
"216",325
"217",328
"218",320
"219",364
"220",291
"221",326
"222",322
"223",326
"224",335
"225",345
"226",339
"227",275
"228",317
"229",278
"230",366
"231",379
"232",316
"233",303
"234",324
"235",321
"236",308
"237",311
"238",328
"239",321
"240",345
"241",346
"242",363
"243",275
"244",325
"245",332
"246",308
"247",295
"248",318
"249",341
"250",287
"251",292
"252",339
"253",260
"254",315
"255",311
"256",286
"257",330
"258",330
"259",317
"260",290
"261",299
"262",323
"263",264
"264",297
"265",280
"266",358
"267",302
"268",307
"269",377
"270",317
"271",271
"272",271
"273",338
"274",333
"275",282
"276",313
"277",450
"278",332
"279",311
"280",301
"281",337
"282",303
"283",324
"284",351
"285",299
"286",296
"287",366
"288",268
"289",295
"290",352
"291",223
"292",374
"293",320
"294",305
"295",317
"296",288
"297",317
"298",329
"299",358
"300",382
"301",319
"302",280
"303",312
"304",309
"305",276
"306",297
"307",315
"308",272
"309",339
"310",287
"311",300
"312",397
"313",276
"314",348
"315",308
"316",332
"317",368
"318",388
"319",333
"320",332
"321",345
"322",288
"323",345
"324",281
"325",367
"326",337
"327",295
"328",307
"329",273
"330",288
"331",252
"332",319
"333",278
"334",327
"335",300
"336",375
"337",352
"338",241
"339",288
"340",382
"341",362
"342",284
"343",357
"344",334
"345",332
"346",302
"347",319
"348",381
"349",290
"350",342
"351",332
"352",319
"353",339
"354",260
"355",305
"356",281
"357",300
"358",367
"359",350
"360",308
"361",357
"362",351
"363",314
"364",274
"365",360
"366",267
"367",310
"368",308
"369",390
"370",287
"371",278
"372",273
"373",262
"374",334
"375",312
"376",311
"377",346
"378",280
"379",343
"380",275
"381",353
"382",333
"383",302
"384",303
"385",244
"386",344
"387",324
"388",238
"389",265
"390",314
"391",265
"392",267
"393",209
"394",289
"395",325
"396",337
"397",319
"398",320
"399",364
"400",340
"401",404
"402",310
"403",313
"404",353
"405",316
"406",297
"407",312
"408",308
"409",344
"410",291
"411",347
"412",333
"413",295
"414",348
"415",282
"416",342
"417",258
"418",331
"419",326
"420",308
"421",309
"422",347
"423",354
"424",321
"425",327
"426",342
"427",336
"428",316
"429",305
"430",320
"431",334
"432",263
"433",325
"434",291
"435",348
"436",263
"437",371
"438",355
"439",332
"440",368
"441",277
"442",329
"443",296
"444",286
"445",342
"446",261
"447",331
"448",259
"449",325
"450",276
"451",354
"452",348
"453",259
"454",299
"455",290
"456",328
"457",350
"458",311
"459",291
"460",332
"461",346
"462",370
"463",335
"464",331
"465",321
"466",290
"467",347
"468",367
"469",362
"470",289
"471",325
"472",377
"473",279
"474",284
"475",292
"476",337
"477",300
"478",285
"479",347
"480",313
"481",289
"482",349
"483",271
"484",316
"485",345
"486",402
"487",306
"488",346
"489",307
"490",263
"491",305
"492",258
"493",240
"494",313
"495",318
"496",323
"497",322
"498",334
"499",323
"500",262
"501",364
"502",290
"503",255
"504",307
"505",305
"506",355
"507",340
"508",354
"509",328
"510",324
"511",334
"512",362
"513",339
"514",315
"515",357
"516",347
"517",312
"518",359
"519",354
"520",273
"521",319
"522",331
"523",288
"524",359
"525",313
"526",299
"527",309
"528",328
"529",266
"530",336
"531",300
"532",336
"533",343
"534",328
"535",249
"536",285
"537",258
"538",313
"539",306
"540",240
"541",327
"542",348
"543",273
"544",351
"545",343
"546",359
"547",280
"548",260
"549",299
"550",268
"551",359
"552",269
"553",309
"554",312
"555",350
"556",295
"557",281
"558",243
"559",308
"560",287
"561",269
"562",301
"563",235
"564",395
"565",347
"566",319
"567",271
"568",374
"569",302
"570",287
"571",337
"572",333
"573",363
"574",320
"575",304
"576",289
"577",365
"578",320
"579",266
"580",334
"581",250
"582",362
"583",347
"584",240
"585",336
"586",344
"587",293
"588",284
"589",248
"590",317
"591",251
"592",314
"593",341
"594",307
"595",335
"596",293
"597",377
"598",383
"599",319
"600",267
"601",339
"602",296
"603",274
"604",402
"605",298
"606",296
"607",299
"608",359
"609",280
"610",328
"611",355
"612",305
"613",284
"614",366
"615",285
"616",301
"617",276
"618",285
"619",387
"620",350
"621",335
"622",246
"623",292
"624",278
"625",340
"626",334
"627",368
"628",275
"629",330
"630",303
"631",314
"632",374
"633",323
"634",312
"635",265
"636",264
"637",342
"638",293
"639",327
"640",352
"641",292
"642",293
"643",276
"644",334
"645",345
"646",317
"647",317
"648",329
"649",348
"650",368
"651",359
"652",383
"653",380
"654",323
"655",364
"656",342
"657",307
"658",307
"659",333
"660",314
"661",332
"662",278
"663",285
"664",337
"665",347
"666",341
"667",316
"668",352
"669",312
"670",302
"671",241
"672",341
"673",314
"674",312
"675",308
"676",363
"677",340
"678",358
"679",328
"680",302
"681",292
"682",242
"683",304
"684",341
"685",277
"686",279
"687",296
"688",246
"689",311
"690",280
"691",278
"692",247
"693",292
"694",350
"695",280
"696",282
"697",386
"698",350
"699",284
"700",341
"701",308
"702",263
"703",356
"704",323
"705",231
"706",321
"707",270
"708",254
"709",341
"710",359
"711",329
"712",365
"713",294
"714",292
"715",242
"716",353
"717",295
"718",284
"719",284
"720",305
"721",280
"722",281
"723",231
"724",290
"725",330
"726",347
"727",308
"728",315
"729",302
"730",287
"731",326
"732",323
"733",339
"734",319
"735",376
"736",294
"737",296
"738",323
"739",320
"740",322
"741",373
"742",337
"743",325
"744",369
"745",316
"746",213
"747",297
"748",323
"749",330
"750",313
"751",277
"752",367
"753",224
"754",383
"755",315
"756",310
"757",303
"758",347
"759",302
"760",367
"761",328
"762",390
"763",336
"764",335
"765",310
"766",305
"767",237
"768",307
"769",303
"770",308
"771",302
"772",285
"773",228
"774",368
"775",305
"776",270
"777",334
"778",240
"779",310
"780",299
"781",351
"782",345
"783",307
"784",292
"785",341
"786",313
"787",322
"788",374
"789",317
"790",367
"791",314
"792",302
"793",282
"794",320
"795",334
"796",323
"797",306
"798",271
"799",320
"800",341
"801",340
"802",324
"803",337
"804",268
"805",333
"806",289
"807",298
"808",300
"809",311
"810",331
"811",344
"812",309
"813",284
"814",309
"815",311
"816",311
"817",339
"818",308
"819",352
"820",278
"821",331
"822",324
"823",363
"824",316
"825",303
"826",301
"827",347
"828",258
"829",310
"830",333
"831",290
"832",321
"833",294
"834",298
"835",348
"836",325
"837",289
"838",276
"839",279
"840",317
"841",325
"842",313
"843",367
"844",331
"845",328
"846",370
"847",239
"848",232
"849",334
"850",302
"851",316
"852",343
"853",342
"854",341
"855",327
"856",309
"857",302
"858",322
"859",357
"860",288
"861",314
"862",334
"863",323
"864",347
"865",305
"866",296
"867",251
"868",268
"869",279
"870",307
"871",308
"872",351
"873",274
"874",323
"875",324
"876",368
"877",313
"878",319
"879",291
"880",340
"881",354
"882",385
"883",311
"884",249
"885",377
"886",254
"887",352
"888",329
"889",327
"890",323
"891",367
"892",334
"893",328
"894",286
"895",243
"896",280
"897",347
"898",328
"899",358
"900",290
"901",324
"902",332
"903",264
"904",320
"905",323
"906",297
"907",299
"908",282
"909",315
"910",257
"911",308
"912",314
"913",360
"914",280
"915",270
