"Date","election_year","dem_plus_minus","running_avg","days_till_election","running_avg_diff"
2000-10-17,2000,-4,-4,21,0
2000-10-18,2000,2,-1,20,3
2000-10-19,2000,-6,-2.66666666666667,19,-1.66666666666667
2000-10-20,2000,-2,-2.5,18,0.166666666666667
2000-10-21,2000,-2,-2.4,17,0.1
2000-10-22,2000,-1,-2.16666666666667,16,0.233333333333333
2000-10-23,2000,-4,-2.42857142857143,15,-0.261904761904762
2000-10-24,2000,NA,-2.42857142857143,14,0
2000-10-25,2000,-3,-2.5,13,-0.0714285714285716
2000-10-26,2000,-3,-2.55555555555556,12,-0.0555555555555554
2000-10-27,2000,-4,-2.7,11,-0.144444444444445
2000-10-28,2000,-5,-2.8,10,-0.0999999999999996
2000-10-29,2000,2,-2.8,9,0
2000-10-30,2000,-3,-2.5,8,0.3
2000-10-31,2000,-2,-2.5,7,0
2000-11-01,2000,-5,-2.8,6,-0.3
2000-11-02,2000,-3,-3,5,-0.2
2000-11-03,2000,-4,-3,4,0
2000-11-04,2000,-2,-2.9,3,0.1
2000-11-05,2000,-2,-2.8,2,0.1
2004-05-05,2004,-3,-2.9,181,0
2004-05-06,2004,-4,-3.4,180,-0.5
2004-05-07,2004,NA,-3.4,179,0
2004-05-08,2004,-5,-3.3,178,0.1
2004-05-09,2004,1,-2.8,177,0.5
2004-05-10,2004,NA,-2.8,176,0
2004-05-11,2004,NA,-2.8,175,0
2004-05-12,2004,NA,-2.8,174,0
2004-05-13,2004,4,-2.1,173,0.7
2004-05-14,2004,1,-1.6,172,0.5
2004-05-15,2004,NA,-1.6,171,0
2004-05-16,2004,NA,-1.6,170,0
2004-05-17,2004,NA,-1.6,169,0
2004-05-18,2004,-1,-1.5,168,0.1
2004-05-19,2004,0,-0.9,167,0.6
2004-05-20,2004,NA,-0.9,166,0
2004-05-21,2004,NA,-0.9,165,0
2004-05-22,2004,0,-0.7,164,0.2
2004-05-23,2004,2,-0.5,163,0.2
2004-05-24,2004,-1,-0.3,162,0.2
2004-05-25,2004,NA,-0.3,161,0
2004-05-26,2004,NA,-0.3,160,0
2004-05-27,2004,NA,-0.3,159,0
2004-05-28,2004,NA,-0.3,158,0
2004-05-29,2004,NA,-0.3,157,0
2004-05-30,2004,NA,-0.3,156,0
2004-05-31,2004,NA,-0.3,155,0
2004-06-01,2004,NA,-0.3,154,0
2004-06-02,2004,NA,-0.3,153,0
2004-06-03,2004,1,0.2,152,0.5
2004-06-04,2004,NA,0.2,151,0
2004-06-05,2004,2,0.9,150,0.7
2004-06-06,2004,2,1,149,0.1
2004-06-07,2004,NA,1,148,0
2004-06-08,2004,6,1.2,147,0.2
2004-06-09,2004,-1,1,146,-0.2
2004-06-10,2004,NA,1,145,0
2004-06-11,2004,NA,1,144,0
2004-06-12,2004,NA,1,143,0
2004-06-13,2004,-4,0.7,142,-0.3
2004-06-14,2004,NA,0.7,141,0
2004-06-15,2004,-10,-0.3,140,-1
2004-06-16,2004,NA,-0.3,139,0
2004-06-17,2004,NA,-0.3,138,0
2004-06-18,2004,NA,-0.3,137,0
2004-06-19,2004,-3,-0.6,136,-0.3
2004-06-20,2004,4,-0.4,135,0.2
2004-06-21,2004,NA,-0.4,134,0
2004-06-22,2004,NA,-0.4,133,0
2004-06-23,2004,-3,-0.6,132,-0.2
2004-06-24,2004,NA,-0.6,131,0
2004-06-25,2004,NA,-0.6,130,0
2004-06-26,2004,NA,-0.6,129,0
2004-06-27,2004,-1,-0.8,128,-0.2
2004-06-28,2004,-1,-1.1,127,-0.3
2004-06-29,2004,NA,-1.1,126,0
2004-06-30,2004,-1,-1.4,125,-0.3
2004-07-01,2004,NA,-1.4,124,0
2004-07-02,2004,NA,-1.4,123,0
2004-07-03,2004,3,-1.7,122,-0.3
2004-07-04,2004,NA,-1.7,121,0
2004-07-05,2004,NA,-1.7,120,0
2004-07-06,2004,8,-0.8,119,0.9
2004-07-07,2004,-1,-0.5,118,0.3
2004-07-08,2004,2,0.7,117,1.2
2004-07-09,2004,3,1.3,116,0.6
2004-07-10,2004,4,1.3,115,0
2004-07-11,2004,3,1.9,114,0.6
2004-07-12,2004,NA,1.9,113,0
2004-07-13,2004,3,2.3,112,0.4
2004-07-14,2004,NA,2.3,111,0
2004-07-15,2004,2,2.6,110,0.3
2004-07-16,2004,NA,2.6,109,0
2004-07-17,2004,2,2.9,108,0.3
2004-07-18,2004,2,2.8,107,-0.1
2004-07-19,2004,NA,2.8,106,0
2004-07-20,2004,NA,2.8,105,0
2004-07-21,2004,1,2.1,104,-0.7
2004-07-22,2004,2,2.4,103,0.3
2004-07-23,2004,NA,2.4,102,0
2004-07-24,2004,2,2.4,101,0
2004-07-25,2004,-2,1.9,100,-0.5
2004-07-26,2004,NA,1.9,99,0
2004-07-27,2004,NA,1.9,98,0
2004-07-28,2004,NA,1.9,97,0
2004-07-29,2004,NA,1.9,96,0
2004-07-30,2004,7,2.2,95,0.3
2004-07-31,2004,NA,2.2,94,0
2004-08-01,2004,1,2,93,-0.2
2004-08-02,2004,0,1.7,92,-0.3
2004-08-03,2004,NA,1.7,91,0
2004-08-04,2004,4,1.9,90,0.2
2004-08-05,2004,4,2.1,89,0.2
2004-08-06,2004,NA,2.1,88,0
2004-08-07,2004,NA,2.1,87,0
2004-08-08,2004,NA,2.1,86,0
2004-08-09,2004,NA,2.1,85,0
2004-08-10,2004,2,2.1,84,0
2004-08-11,2004,-2,1.8,83,-0.3
2004-08-12,2004,NA,1.8,82,0
2004-08-13,2004,NA,1.8,81,0
2004-08-14,2004,4,2,80,0.2
2004-08-15,2004,0,1.8,79,-0.2
2004-08-16,2004,NA,1.8,78,0
2004-08-17,2004,1,2.1,77,0.3
2004-08-18,2004,1,1.5,76,-0.6
2004-08-19,2004,NA,1.5,75,0
2004-08-20,2004,NA,1.5,74,0
2004-08-21,2004,NA,1.5,73,0
2004-08-22,2004,NA,1.5,72,0
2004-08-23,2004,0,1.4,71,-0.1
2004-08-24,2004,1,1.5,70,0.1
2004-08-25,2004,-1,1,69,-0.5
2004-08-26,2004,-2,0.4,68,-0.6
2004-08-27,2004,NA,0.4,67,0
2004-08-28,2004,NA,0.4,66,0
2004-08-29,2004,0,0.2,65,-0.2
2004-08-30,2004,NA,0.2,64,0
2004-08-31,2004,NA,0.2,63,0
2004-09-01,2004,0,0.4,62,0.2
2004-09-02,2004,-7,-0.7,61,-1.1
2004-09-03,2004,-11,-1.8,60,-1.1
2004-09-04,2004,NA,-1.8,59,0
2004-09-05,2004,-7,-2.6,58,-0.8
2004-09-06,2004,NA,-2.6,57,0
2004-09-07,2004,NA,-2.6,56,0
2004-09-08,2004,-7,-3.4,55,-0.8
2004-09-09,2004,-7,-4.1,54,-0.7
2004-09-10,2004,-11,-5.3,53,-1.2
2004-09-11,2004,NA,-5.3,52,0
2004-09-12,2004,0,-5.2,51,0.0999999999999996
2004-09-13,2004,1,-4.9,50,0.3
2004-09-14,2004,-1,-5,49,-0.0999999999999996
2004-09-15,2004,-9,-5.9,48,-0.9
2004-09-16,2004,-9,-6.1,47,-0.199999999999999
2004-09-17,2004,NA,-6.1,46,0
2004-09-18,2004,-3,-5.3,45,0.8
2004-09-19,2004,-4,-5,44,0.3
2004-09-20,2004,NA,-5,43,0
2004-09-21,2004,-2,-4.5,42,0.5
2004-09-22,2004,-7,-4.5,41,0
2004-09-23,2004,-6,-4,40,0.5
2004-09-24,2004,NA,-4,39,0
2004-09-25,2004,NA,-4,38,0
2004-09-26,2004,-7,-4.7,37,-0.7
2004-09-27,2004,0,-4.8,36,-0.0999999999999996
2004-09-28,2004,-6,-5.3,35,-0.5
2004-09-29,2004,NA,-5.3,34,0
2004-09-30,2004,-7,-5.1,33,0.2
2004-10-01,2004,NA,-5.1,32,0
2004-10-02,2004,-2,-4.4,31,0.699999999999999
2004-10-03,2004,-3,-4.4,30,0
2004-10-04,2004,-1,-4.1,29,0.300000000000001
2004-10-05,2004,-5,-4.4,28,-0.300000000000001
2004-10-06,2004,4,-3.3,27,1.1
2004-10-07,2004,-2,-2.9,26,0.4
2004-10-08,2004,NA,-2.9,25,0
2004-10-09,2004,NA,-2.9,24,0
2004-10-10,2004,1,-2.1,23,0.8
2004-10-11,2004,-3,-2.4,22,-0.3
2004-10-12,2004,NA,-2.4,21,0
